text;category;label
Biszkopty milka w czekoladzie choc&choc ;Pozostałe wyroby piekarskie;01.1.1.4
Kaktus - Lody cytrynowe i lody wodne truskawkowe z kawałkam...Â suszonych truskawek;Lody;01.1.8.5
Kiełbasa krakowska sucha z szynką mróz ;Wędliny;01.1.2.7
Cafe Sati Kawa palona mielona o smaku waniliowym 250 g;Kawa;01.2.1.1
Brzoskwinia - sztuka waga około 170g;Owoce świeże lub chłodzone;01.1.6.1
Mlekovita - Ser żółty Sokół plastry;Sery i twarogi;01.1.4.5
Karp filet bez ości;Ryby świeże lub chłodzone;01.1.3.1
Zupa grzybowa amino ;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Bielmar Śniadaniowa Klasyczna Margaryna o zmniejszonej zawartości tłuszczu 450 g;Margaryna i inne tłuszcze roślinne;01.1.5.2
Dan Cake - Mufinka stracciatella 4 sztuki;Pozostałe wyroby piekarskie;01.1.1.4
Dr. Oetker - Pizza Rigga szynka,pieczarki, sos czosnkowy;Pizza i inne półprodukty mączne;01.1.1.5
Tesco Drożdże instant 7 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Almette mini z ziołami 120g ;Sery i twarogi;01.1.4.5
Wafel Teatralny czekoladowy ;Pozostałe wyroby piekarskie;01.1.1.4
Erytrol 4kg (4 x 1kg) Naturalny Słodzik 0 kalorii;Sztuczne substytuty cukru;01.1.8.6
Ser Camembert naturalny ;Sery i twarogi;01.1.4.5
Lipton Herbata czarna aromatyzowana wiśnia Morello 34 g (20 torebek);Herbata;01.2.1.2
Tesco Ryż długoziarnisty biały jaśminowy 500 g (4 x 125 g);Ryż;01.1.1.1
Czekolada Milka z toffi;Czekolada;01.1.8.3
Polędwica z dorsza dary posejdona;Ryby świeże lub chłodzone;01.1.3.1
Casa de Valpereiro - Ekstra oliwa z oliwek z pierwszego tłoczenia.;Oliwa z oliwek;01.1.5.3
Auchan - Mozzarella ser kulka w zalewie;Sery i twarogi;01.1.4.5
Winiary Sos ziołowy 240 ml;Sosy, przyprawy;01.1.9.1
Pudliszki Flaki wołowe po zamojsku 500 g;Pozostałe przetwory mięsne;01.1.2.8
KUMKWAT ŚWIEŻY 250g - desery, nalewki PYSZNY!!!!;Owoce świeże lub chłodzone;01.1.6.1
Develey - Majonez Wegański;Sosy, przyprawy;01.1.9.1
Ekologiczny sok grapefruitowy ;Soki owocowe i warzywne;01.2.2.3
Chipsletten Fromage ze szczypiorkiem Chipsy ziemniaczane 100 g;Chipsy;01.1.7.5
Knorr Przyprawa do gyrosa 23 g;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Nesquik Napój Kakao Rozpuszczalne Witaminy 500g;Kakao i czekolada w proszku;01.2.1.3
Tesco Szpinak siekany porcjowany 450 g;Warzywa mrożone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.2
Danone Fantasia Jogurt kremowy mango z nutą róży 122 g;Jogurt;01.1.4.4
Łaciate Mleko w proszku 500 g;Mleko zagęszczone i w proszku;01.1.4.3
Hiszpańskie salami ;Wędliny;01.1.2.7
Knorr Zapiekanka makaronowa z szynką 44 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
jabłko Eliza słodko-winne 12kg od sadownika;Owoce świeże lub chłodzone;01.1.6.1
Rama Miks tłuszczowy z masłem 225 g;Margaryna i inne tłuszcze roślinne;01.1.5.2
Antrykot argentyński Black Angus;Mięso wołowe i cielęce;01.1.2.1
Pomidory suszone w oleju paski ;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Tesco Płatki jęczmienne pełnoziarniste 400 g;Płatki śniadaniowe;01.1.1.7
Beretta - Viva la Mamma lasagne makaron z mięsnym sosem ragu;Makarony i produkty makaronowe;01.1.1.6
Kasza Jęczmienna Pęczak Kupiec ;Mąka i pozostałe zboża;01.1.1.2
Porcje z miruny nowozelandzkiej bez skóry - 0% glazury 2,5kg Talley's;Ryby mrożone;01.1.3.2
Auchan - Kluski na parze 300 g;Pizza i inne półprodukty mączne;01.1.1.5
Czekolada Wedel Gorzka z nadzieniem wiśniowym ;Czekolada;01.1.8.3
Auchan - Sok z marchwi;Soki owocowe i warzywne;01.2.2.3
Crispy natural - Chipsy z buraka smak vinegret;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Ketchup heinz pikantny ;Sosy, przyprawy;01.1.9.1
Danone Activia Jogurt naturalny 180 g;Jogurt;01.1.4.4
Ptasie mleczko śmietankowe w czekoladzie karmelowej ;Wyroby cukiernicze;01.1.8.4
Hochland Kanapkowy Krem śmietankowy 240 g;Sery i twarogi;01.1.4.5
TET British Empire Herbata czarna 200 g (100 torebek);Herbata;01.2.1.2
Auchan - Sos paprykowy z bakłażanem i pomidorami;Sosy, przyprawy;01.1.9.1
Napój Disney Auta musujący bezalkoholowy;Napoje orzeźwiające;01.2.2.2
Delma Extra Margaryna o smaku masła 450 g;Margaryna i inne tłuszcze roślinne;01.1.5.2
Marynata jack daniel's steakhouse liquide marinade ;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Wadowice Skawa Elitesse De Luxe Wafelek przekładany kremem kakaowym w czekoladzie 20 g;Pozostałe wyroby piekarskie;01.1.1.4
Diamant - Cukier trzcinowy nierafinowany drobny;Cukier;01.1.8.1
Lay's - Fromage chipsy ziemniaczane o smaku śmietankowego ...Â z ziołami 215g;Chipsy;01.1.7.5
Monini - Oliwa extra virgine delicato;Oliwa z oliwek;01.1.5.3
Cukiernia Olsza - Ciastka koperty z nadzieniem owocowym;Pozostałe wyroby piekarskie;01.1.1.4
Herbata Loyd Tea Earl Grey;Herbata;01.2.1.2
Tymbark - Napój Owoce Świata zielony banan;Napoje orzeźwiające;01.2.2.2
Doritos - Taco pikantne chipsy kukurydziane;Chipsy;01.1.7.5
Ketchup łagodny Tortex ;Sosy, przyprawy;01.1.9.1
Antar mrożony / 500 g (10% lodu);Ryby mrożone;01.1.3.2
Mleko zagęszczone Lackmann 1000g;Mleko zagęszczone i w proszku;01.1.4.3
Ozdoba do ciast i deserów ;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Suszona wołowina Beef Jerky Classic ;Wędliny;01.1.2.7
Tesco Płatki orkiszowe pełnoziarniste 400 g;Płatki śniadaniowe;01.1.1.7
Szponder wołowy z kością;Mięso wołowe i cielęce;01.1.2.1
Tesco Ser kozi miękki 150 g;Sery i twarogi;01.1.4.5
Krewetki gotowane całe;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Fortuna - Sok Chili;Soki owocowe i warzywne;01.2.2.3
Bombonierka frutti di mare ;Czekolada;01.1.8.3
Orzeszki pistacjowe;Owoce suszone i orzechy;01.1.6.3
Tesco Ryż długoziarnisty biały 1 kg;Ryż;01.1.1.1
Knorr Sos do spaghetti bolognese z pomidorami bazylią i oregano 500 g;Sosy, przyprawy;01.1.9.1
Łowicz Dżem wiśniowy niskosłodzony 450 g;Dżemy, marmolady i miód;01.1.8.2
Nesvita - Płatki owsiane z mlekiem i truskawkami;Płatki śniadaniowe;01.1.1.7
Delecta - Cukier o smaku cynamonowym;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Polędwica wołowa ;Mięso wołowe i cielęce;01.1.2.1
Rama buterry o smaku maślanym ;Margaryna i inne tłuszcze roślinne;01.1.5.2
Trufle Mieszko z rumem oryginalne ;Wyroby cukiernicze;01.1.8.4
cukinia bio;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Delecta Owocowy kubek Kids Kisiel marchew-jabłko 31 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Tesco Dorsz atlantycki wędzony;Ryby i owoce morza suszone, wędzone lub solone;01.1.3.5
Mlekovita Wypasione Mleko zagęszczone słodzone kakaowe 150 g;Mleko zagęszczone i w proszku;01.1.4.3
Kasza jaglana Piotr i Paweł;Mąka i pozostałe zboża;01.1.1.2
Dorsz atlantycki polędwiczki b/s mrożony;Ryby mrożone;01.1.3.2
Lody Grycan owoce leśne;Lody;01.1.8.5
Salceson z gęsi w słoiku;Podroby i przetwory podrobowe;01.1.2.6
Tesco Pestki dyni prażone solone 200 g;Przetwory owocowe;01.1.6.4
Kubuś Sok banan jabłko brzoskwinia 900 ml;Soki owocowe i warzywne;01.2.2.3
Kasza gryczana niepalona ekologiczna ;Mąka i pozostałe zboża;01.1.1.2
Czekolada do picia Cadbury 1kg;Kakao i czekolada w proszku;01.2.1.3
Jabłka Idared 6kg;Owoce świeże lub chłodzone;01.1.6.1
Mleko Łaciate 0% UHT;Mleko świeże niskotłuszczowe;01.1.4.2
Ser Feta Epiros  z Krety ;Sery i twarogi;01.1.4.5
Tesco Mieszanka rodzynek i orzechów 100 g;Owoce suszone i orzechy;01.1.6.3
Pstrąg tęczowy patroszony (300-450g);Ryby świeże lub chłodzone;01.1.3.1
Koperek ;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Tesco Ryż długoziarnisty brązowy 500 g (4 x 125 g);Ryż;01.1.1.1
Sierpc - Ser Królewski Light;Sery i twarogi;01.1.4.5
Powidła węgierkowe Spiżarnia;Dżemy, marmolady i miód;01.1.8.2
Hortex - Pomarańczowy sok 100%. Wzbogacony witaminą C;Soki owocowe i warzywne;01.2.2.3
Konspol Double burger wieprzowy 220 g;Gotowe dania;01.1.9.4
Ananas BIO IMPORT 1 szt;Owoce świeże lub chłodzone;01.1.6.1
Danone - Actimel Naturalny 8x100g;Pozostałe produkty mleczne;01.1.4.6
Sól morska Kamis ;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Łopatka jagnięca z małą kością goleni 1.7 kg - produkt mrożony;Mięso baranie i kozie;01.1.2.3
Musztarda Kcyńska Sarepska ;Sosy, przyprawy;01.1.9.1
Royal Apple - Sok jabłkowo-marchwiowy tłoczony;Soki owocowe i warzywne;01.2.2.3
Udziec wołowy bez kości 1 kg;Mięso wołowe i cielęce;01.1.2.1
Apetina Snack z zielonymi oliwkami i czosnkiem ;Sery i twarogi;01.1.4.5
Petitki - Biszkopty 120 g;Pozostałe wyroby piekarskie;01.1.1.4
Tesco Finest Ciasto maślane z bitą śmietaną i truskawkami 537 g;Pozostałe wyroby piekarskie;01.1.1.4
Tuszka zająca mrożona;Pozostałe mięsa;01.1.2.5
Oliwa Monini Classico z oliwek najwyższej jakości ;Oliwa z oliwek;01.1.5.3
Menii - Fruit&Vege Smoothie dynia-marchew-marakuja;Przetwory owocowe;01.1.6.4
Oliwki czarne drylowane beach flower/140g ;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Ciastka belvita zbożowe orzechy i miód ;Pozostałe wyroby piekarskie;01.1.1.4
Baton orzechowy z nerkowcem, chili i gorzką czekoladą ;Wyroby cukiernicze;01.1.8.4
Mancuso - Gelato Triplo Cioccolato kremowe lody potrójnie cz...;Lody;01.1.8.5
Żywiec Zdrój Woda źródlana lekki gaz 1,5 l;Wody mineralne lub źródlane;01.2.2.1
Henryk Kania - Kabanoski Maestro bekonowe;Wędliny;01.1.2.7
Monini Classico Oliwa z oliwek najwyższej jakości z pierwszego tłoczenia 750 ml;Oliwa z oliwek;01.1.5.3
Napój gazowany schweppes premium mixer tonic+primienta rosa ;Napoje orzeźwiające;01.2.2.2
Bataty w proszku 500g;Pozostałe warzywa bulwiaste i przetwory z warzyw bulwiastych;01.1.7.6
Bieluch - Twaróg tłusty;Sery i twarogi;01.1.4.5
HiPP - Obiadek ziemniaki, kurczak i pomidory;Żywność dla dzieci;01.1.9.3
Cheetos Chrupki kukurydziane o smaku pizzy 170 g;Chipsy;01.1.7.5
Polędwice z Mintaja Abramczyk;Ryby mrożone;01.1.3.2
Gdańskie Młyny Mąka pełnoziarnista żytnia 1 kg;Mąka i pozostałe zboża;01.1.1.2
frisco freah cukinia zielona;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Passionfruit, marakuja 0,50 kg Kolumbia;Owoce świeże lub chłodzone;01.1.6.1
Hochland Ser kremowy w plastrach Maasdamer 130 g (8 sztuk);Sery i twarogi;01.1.4.5
Cukierki Nerds arbuz-wiśnia ;Wyroby cukiernicze;01.1.8.4
Iglotex - Proste historie Warzywa na patelnię po włosku;Gotowe dania;01.1.9.4
Sok premium rosa witamina c z aceroli ;Soki owocowe i warzywne;01.2.2.3
Lisner Filety śledziowe z imbirem marynowanym 200 g;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Glutenex - Bułki kajzerki bezglutenowe;Pieczywo;01.1.1.3
Herbata Dilmah Ceylon Gold 50*2g ;Herbata;01.2.1.2
Łaciata Śmietanka 30% 250 ml;Pozostałe produkty mleczne;01.1.4.6
Grześki Mega Wafel przekładany kremem kakaowym w czekoladzie 48 g;Pozostałe wyroby piekarskie;01.1.1.4
uniflora kiełki rzodkiewki;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
gulasz cielęcy;Mięso wołowe i cielęce;01.1.2.1
MLEKOVITA MLEKO W PROSZKU ODTŁUSZCZONE INSTANT 250;Mleko zagęszczone i w proszku;01.1.4.3
Ośmiornice w sosie czosnkowym ;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Sonko Fit Opiekane płatki jaglane 200 g;Płatki śniadaniowe;01.1.1.7
Mlekovita - Mleko waniliowe;Pozostałe produkty mleczne;01.1.4.6
Bebiprima - Deser Jabłko banan & jagoda. Mus owocowy po 4 mies...;Żywność dla dzieci;01.1.9.3
Delecta Owocowy kubek Kids Kisiel marchew-pomarańcza 31 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Mirinda Orange Napój gazowany 1 l;Napoje orzeźwiające;01.2.2.2
Tesco Finest Chipsy ziemniaczane z solą morską 150 g;Chipsy;01.1.7.5
Tesco Fromaggio Serek śmietankowy w plastrach 100 g;Sery i twarogi;01.1.4.5
Szczupak filet;Ryby świeże lub chłodzone;01.1.3.1
Dr. Oetker Żelatyna uniwersalna 50 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
KotĂˇnyi Suszone pomidory z oliwkami mieszanka przypraw 22 g;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
MROŻONY MINTAJ FILET 5 KG 10%;Ryby mrożone;01.1.3.2
KRESTO Śliwki suszone bez pestek 200 g;Owoce suszone i orzechy;01.1.6.3
Czekoladowy Mikołaj z maskotką ;Czekolada;01.1.8.3
Animelka grasica wieprzowa;Podroby i przetwory podrobowe;01.1.2.6
Majeranek ;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
NaTurek Nasz Puszysty z ogórkiem Serek twarogowy 140 g;Sery i twarogi;01.1.4.5
Helio - Polewa Deserowa dekoracja;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Tesco Ciecierzyca 500 g;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Gorący kubek Knorr rosół z kury z makaronem. ;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
U Jędrusia Pierogi ruskie 1 kg;Pizza i inne półprodukty mączne;01.1.1.5
Lipton Ice Tea Green Tea Napój niegazowany 500 ml;Napoje orzeźwiające;01.2.2.2
Knorr Rosół wołowy 180 g (18 kostek);Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Winiary - Galaretka agrestowa;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
LIMONKA ŚWIEŻA 1 kg. RYNECZEK MESSIS;Owoce świeże lub chłodzone;01.1.6.1
Sok leon jabłko-marchew-banan ;Soki owocowe i warzywne;01.2.2.3
banany;Owoce świeże lub chłodzone;01.1.6.1
Hummus z pieczoną papryką ;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
ą†wiartka z kurczaka sielskiego kl.a-tacka ;Mięso drobiowe;01.1.2.4
Kamis Musztarda sarepska 280 g;Sosy, przyprawy;01.1.9.1
Makaron Lubella Łazanki nr 46;Makarony i produkty makaronowe;01.1.1.6
Hippis sport gruszki-banany-winogrona z owsem ;Żywność dla dzieci;01.1.9.3
Teekanne Green Tea Herbata zielona 35 g (20 torebek);Herbata;01.2.1.2
Rolnik Buraczki tarte 450 g;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Masło Extra Łaciate ;Masło;01.1.5.1
Orasi - Napój ryżowy;Pozostałe produkty mleczne;01.1.4.6
Kopytka luz kuchnia polki ;Ziemniaki;01.1.7.4
mrożony KARP CAŁY POLSKI;Ryby mrożone;01.1.3.2
Podniesiony Kciuk - Wafelki kakaowe;Pozostałe wyroby piekarskie;01.1.1.4
Glutenex - Chleb bochenkowy wieloziarnisty jasny bezglutenowy;Pieczywo;01.1.1.3
kiełki rzodkiewki 250g;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Zott Monte Drink Napój mleczny 380 ml (4 sztuki);Pozostałe produkty mleczne;01.1.4.6
Enfamil - Premium 3 mleko następne powyżej 1 roku życia;Żywność dla dzieci;01.1.9.3
Ocet Develey z białego wina;Sosy, przyprawy;01.1.9.1
Kaszka bobovita smaczna kolacja mleczno-wielozboż.-wieloowocowa wieloowocowa;Żywność dla dzieci;01.1.9.3
Herbata Big-Active zielona z owocem pigwy;Herbata;01.2.1.2
Tymbark Napój cytryna mięta 500 ml;Napoje orzeźwiające;01.2.2.2
Jabłko CHAMPION;Owoce świeże lub chłodzone;01.1.6.1
Kapusta pekińska ;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Tesco Mexican Sałatka z tuńczykiem 170 g;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Fitella Musli chrupkie bananowe z kawałkami czekolady 300 g;Płatki śniadaniowe;01.1.1.7
Ustronianka - Ustronianka gazowana z cytryną 6 x 1,5L;Napoje orzeźwiające;01.2.2.2
Staropolanka - Naturalna woda mineralna średnionasycona Co2;Wody mineralne lub źródlane;01.2.2.1
Paluszki lajkonik extra cienkie z solą ;Pozostałe wyroby piekarskie;01.1.1.4
Sante - Organic 100% Vegan napój sojowy z wapniem;Pozostałe produkty mleczne;01.1.4.6
Sir Roger Yunnan Herbata czarna liściasta 80 g;Herbata;01.2.1.2
Lody truskawkowe ;Lody;01.1.8.5
Nongshim - Chipsy cebulowe krążki;Chipsy;01.1.7.5
Tesco Spanish Oliwa z oliwek najwyższej jakości z pierwszego tłoczenia 500 ml;Oliwa z oliwek;01.1.5.3
Mieszanka przypraw azjatycka młynek ;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Dr. Oetker Ristorante Pizza Quattro Formaggi 340 g;Pizza i inne półprodukty mączne;01.1.1.5
Packers Best Garden Fruit Infusion Herbatka owocowa 40 g (20 torebek);Herbata;01.2.1.2
Monini Aromatyzowana oliwa z oliwek o smaku bazylii 250 ml;Oliwa z oliwek;01.1.5.3
Kości cielęce;Mięso wołowe i cielęce;01.1.2.1
Kasol Żurawina Mrożona Uprawna 600 G Leśne Skarby;Owoce mrożone;01.1.6.2
Ciastka hit orzechowy ;Pozostałe wyroby piekarskie;01.1.1.4
Tesco Pietruszka zielona cięta 8 g suszona;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Piątnica - Mleko wiejskie 3,2% tłuszczu;Mleko świeże pełne;01.1.4.1
Figaro Papryka piri piri 100 g;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Gorący kubek Knorr krem z borowikow z grzankami ;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Mlekovita Ser Ementaler plastry 500 g;Sery i twarogi;01.1.4.5
Lisner - Śledź - Śledzik w sosie śmietanowym;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Sok jabłkowy naturalny Piotr i Paweł;Soki owocowe i warzywne;01.2.2.3
Boczek z dzika bez kości świeży/mrożony;Pozostałe mięsa;01.1.2.5
Łuków Golonka w galarecie 500 g;Pozostałe przetwory mięsne;01.1.2.8
House of Asia - Sos Teriyaki;Sosy, przyprawy;01.1.9.1
Serek milandia z ziołami. ;Sery i twarogi;01.1.4.5
ELKOPOL GOŁĄB TUSZKA 225G MROŻONY;Pozostałe mięsa;01.1.2.5
Nestle Nesquik Kakao Rozpuszczalne 200g;Kakao i czekolada w proszku;01.2.1.3
Mleko Gostyń 7,5% zagęszczone niesłodzon 500g 6szt;Mleko zagęszczone i w proszku;01.1.4.3
Bakoma Men Pro Jogurt truskawkowy z wysoką zawartością białka 200 g;Jogurt;01.1.4.4
kapusta biała;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Tesco Ryż średnioziarnisty risotto 500 g;Ryż;01.1.1.1
Tesco Chrupki kukurydziane o smaku serowym 125 g;Chipsy;01.1.7.5
Auchan - Sos beszamelowy ze śmietanką w proszku;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Czosnek niedźwiedzi ;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Stek z antrykotu z młodego bydła 450g - polska wołowina;Mięso wołowe i cielęce;01.1.2.1
Tesco Chipsy ziemniaczane grubo krojone o smaku szynki i sera 130 g;Chipsy;01.1.7.5
Naleśniki Piotr i Paweł serowo-truskawkowe;Pizza i inne półprodukty mączne;01.1.1.5
Celiko - Galaretka o smaku truskawkowym bezglutenowa;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Oshee - For Bikeriders Lime & Mint napój izotoniczny niega...;Napoje orzeźwiające;01.2.2.2
FigAND Śmietana 12% do sałatek 200 g;Pozostałe produkty mleczne;01.1.4.6
Jałowiec Kamis ;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Ustronianka - Napój niegazowany o smaku truskawkowym wzbogacony ...;Napoje orzeźwiające;01.2.2.2
Czekolada bezglutenowa Chocokiss Jedziemy na Twoje urodziny ;Czekolada;01.1.8.3
Tesco Mieszanka soków oraz przecierów nie z koncentratu 1 l;Soki owocowe i warzywne;01.2.2.3
Lay's - Chipsy ziemniaczane o smaku papryki 140g;Chipsy;01.1.7.5
Auchan - Herbata zielona liściasta z kawałkami owoców;Herbata;01.2.1.2
Pasta Pastella Lisner śródziemnomorska z pomidorami ;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Sałata dębolistna z dostawą do domu Tylko Zdrowe Produkty szt;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Vegeta Natur Przyprawa warzywna do potraw 150 g;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Sałatka ziemniaczana ;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Bezgluten - Makaron z mąką gryczaną bezglutenowy;Makarony i produkty makaronowe;01.1.1.6
Prymat Młynek Pieprz czarny 47 g;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
agrest;Owoce świeże lub chłodzone;01.1.6.1
Cukierek Orbit Spearmint Mints ;Wyroby cukiernicze;01.1.8.4
Fox's - Ciasteczka z kawałkami mlecznej czekolady;Pozostałe wyroby piekarskie;01.1.1.4
Kawa Nescafe 3in1 Classic rozpuszczalna ;Kawa;01.2.1.1
Piątnica - Jogurt typu greckiego z truskawkami 0%;Jogurt;01.1.4.4
Napój czekoladowy Gut & Günstig Choco Drink 800g;Kakao i czekolada w proszku;01.2.1.3
Piątnica - Jogurt Piątuś typu greckiego bananowy;Jogurt;01.1.4.4
Auchan - Sok pomarańczowy z miąższem;Soki owocowe i warzywne;01.2.2.3
Nutricia - Bebilon Junior z Pronutra+  5;Żywność dla dzieci;01.1.9.3
Wanilia w laskach ;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Czekolada do picia Torrefazione Mokaflor 1 kg;Kakao i czekolada w proszku;01.2.1.3
Napój Tymbark jabłko-czerwone porzeczki ;Napoje orzeźwiające;01.2.2.2
o'Sole - Sól morska gruboziarnista;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Konserwa Wojskowa Arpol 850 g;Pozostałe przetwory mięsne;01.1.2.8
Sery z Goliszewa Ser Piórko w plastrach;Sery i twarogi;01.1.4.5
Vifon Łagodny Zupa błyskawiczna 70 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Krakus Konserwa Biwakowa 300 g;Pozostałe przetwory mięsne;01.1.2.8
Czarna porzeczka w czekoladzie Piotr i Paweł ;Wyroby cukiernicze;01.1.8.4
Ciastka Belvita zbożowe kakao ;Pozostałe wyroby piekarskie;01.1.1.4
Rosół Winiary drobiowo-warzywny ;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
SuperFish - Filet z łososia MAP;Ryby świeże lub chłodzone;01.1.3.1
Mandarynki;Owoce świeże lub chłodzone;01.1.6.1
Wiejskie Ziemniaczki Ciosane Chipsy ziemniaczane o smaku soli z pieprzem 110 g;Chipsy;01.1.7.5
Donut Wedel 68 g;Pozostałe wyroby piekarskie;01.1.1.4
Hortex - wiśnie bez pestek;Owoce mrożone;01.1.6.2
Polędwica surowa wędzona ;Wędliny;01.1.2.7
Kukurydza - cukrowa gotowana 2 sztuki;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Kakao;Kakao i czekolada w proszku;01.2.1.3
Lindt 70% Gorzka czekolada nadziewana musem i nadzieniem z wiśni i chili 150 g;Czekolada;01.1.8.3
Passioni - Taralli Caserecci;Pozostałe wyroby piekarskie;01.1.1.4
szczypiorek pęczek;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
N'GINE - Kubica Team Classic Energy gazowany napój energety...;Napoje orzeźwiające;01.2.2.2
Quinoa biała Casa del Sur ;Mąka i pozostałe zboża;01.1.1.2
Lindt Creation Dessert Czekoladki z czekolady ciemnej mlecznej i białej 170 g;Czekolada;01.1.8.3
mąka kokosowa Organic Virgin Bio ;Owoce suszone i orzechy;01.1.6.3
Mrożone krewetki gotowane, obrane, w pierścieniu, z sosem koktajlowym;Owoce morza mrożone;01.1.3.4
Serca wołowe;Podroby i przetwory podrobowe;01.1.2.6
Uncle Ben's Ryż pełnoziarnisty z warzywami 250 g;Ryż;01.1.1.1
Benecol Classic Tłuszcz do smarowania z dodatkiem stanoli roślinnych 400 g;Margaryna i inne tłuszcze roślinne;01.1.5.2
Heinz Klasyczny sos barbecue 480 g;Sosy, przyprawy;01.1.9.1
Kotanyi - Cząber otarty;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Drożdżówka z kruszanką ;Pozostałe wyroby piekarskie;01.1.1.4
Jogurt pitny Milko morelowy ;Jogurt;01.1.4.4
Sok NFC 100% innoju mango+b complex ;Soki owocowe i warzywne;01.2.2.3
Kawa rozpuszczalna Jacobs kronung ;Kawa;01.2.1.1
Prymat Przyprawa do ziemniaków i frytek 25 g;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Piekarnia Jutrzenka - Chleb orkiszowy krojony;Pieczywo;01.1.1.3
Tymbark - Napój jabłko i wiśnia;Napoje orzeźwiające;01.2.2.2
San Łakotki Złotokłose wiatraczki owsiane Ciastka 171 g;Pozostałe wyroby piekarskie;01.1.1.4
Tesco Finest Sos czekoladowy 250 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Tesco Value Mortadela paprykowa 450 g;Wędliny;01.1.2.7
Oliwki Jolca z czosnkiem;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Tesco Finest Pennoni Rigati Makaron z pszenicy durum 500 g;Makarony i produkty makaronowe;01.1.1.6
