kod;kod4;nazwa_en;zadania_en;zadania_en_2;nazwa_pl
22.21;'2221';Manufacture of plastic plates, sheets, tubes and profiles;"manufacture of semi-manufactures of plastic products: plastic plates, sheets, blocks, film, foil, strip, etc.; manufacture of finished plastic products: plastic tubes, pipes and hoses; hose and pipe fittings; cellophane film or sheet; manufacture of flexible or rigid plates and sheets of cellular polyurethane; manufacture of plastic plates, sheets, film, foil and strip, reinforced, laminated, supported or similarly combined with other materials; manufacture of self-adhesive plates, sheets, film and foil ";;Produkcja płyt, arkuszy, rur i kształtowników z tworzyw sztucznych
22.22;'2222';Manufacture of plastic packing goods;manufacture of plastic articles for the packing of goods: plastic bags, sacks, containers, boxes, cases, carboys, bottles, etc.;;Produkcja opakowań z tworzyw sztucznych
22.23;'2223';Manufacture of doors and windows of plastic;"manufacture of doors, windows and their frames of plastic; manufacture of multi-material doors and windows with the frame made of plastic; manufacture of shutters, blinds (including venetian blinds) and similar articles, and parts hereof, made of plastic; manufacture of multi-material shutters for doors and windows with the frame made of plastic";;Produkcja drzwi i okien z tworzyw sztucznych
22.24;'2224';Manufacture of builders’ ware of plastic;"manufacture of builders’ plastics ware: skirting boards; tanks, reservoirs; plastic floor, wall or ceiling coverings in rolls or in the form of tiles, etc.; plastic sanitaryware like plastic baths, shower baths, washbasins, lavatory pans, flushing cisterns, etc.; manufacture of resilient floor coverings (e.g. vinyl, linoleum)";manufacture of sanitaryware made out of a mixture of plastics and minerals, with the minerals serving as a filler;Produkcja wyrobów dla budownictwa z tworzyw sztucznych
22.25;'2225';Processing and finishing of plastic products;"general activities for the processing and finishing of plastic products, typically carried out on a fee or contract basis: processing of plastics (e.g. by cutting, chamfering, turning, milling, drilling, threading by computer numerical control (CNC) or other machineries); bending, gluing and welding of plastic materials; processing of plastic surfaces (e.g. by engraving, sandblasting, microblasting, polishing); coating of plastic surfaces (e.g. painting, varnishing and metallisation of plastics)";"cladding of metal pipes with plastics; welding of plastic tanks and pipes";Obróbka i wykończanie produktów z tworzyw sztucznych
22.26;'2226';Manufacture of other plastic products;"manufacture of plastic tableware, kitchenware and toilet articles; manufacture of diverse plastic products, e.g.: plastic headgear, insulating fittings, parts of light fittings, office or school supplies, articles of apparel, fittings for furniture, statuettes, transmission and conveyer belts, plastic shoe-lasts, plastic cigar and cigarette holders, combs, plastic hair curlers, plastic novelties; manufacture of products from polymer clay";manufacture of plastic equipment for cleaning;Produkcja pozostałych wyrobów z tworzyw sztucznych
23.lis;'2311';Manufacture of flat glass;manufacture of flat glass (e.g. cast, rolled, drawn or blown), surface ground or polished glass in sheets and sheets of float glass, opacified, flashed or having an absorbent, reflecting or non-reflecting layer, including wired,  coloured throughout the mass, or tinted flat glass;shaping and processing done as part of the manufacturing process;Produkcja szkła płaskiego
23.gru;'2312';Shaping and processing of flat glass;"manufacture of bent, edgeworked, engraved, drilled or enamelled glass sheets or profiles; manufacture of toughened or laminated safety glass; manufacture of glass mirrors; manufacture of multiple-walled insulating glass and units of glass; manufacture of coated glass; surface treatment of flat glass";;Kształtowanie i obróbka szkła płaskiego
23.13;'2313';Manufacture of hollow glass;" manufacture of bottles and other containers of glass or crystal; manufacture of drinking glasses, glassware for table or kitchen purposes and other domestic glass or crystal articles";" manufacture of glass inners for vacuum vessels; cutting or otherwise decorating drinking glasses";Produkcja szkła gospodarczego
23.14;'2314';Manufacture of glass fibres;"manufacture of glass fibres, including glass wool and non-woven products thereof; manufacture of products from glass fibres";;Produkcja włókien szklanych
23.15;'2315';Manufacture and processing of other glass, including technical glassware;"manufacture of laboratory, hygienic or pharmaceutical glassware; manufacture of clock or watch glass, optical glass and optical elements not optically worked; manufacture of glassware used in imitation jewellery; manufacture of glass insulators and glass insulating fittings; manufacture of glass envelopes for lamps; manufacture of glass figurines; manufacture of glass blocks and bricks, slabs, squares and tiles, of a kind used for building or construction purposes, and multicellular or foam glass in blocks, panels, plates, shells or similar forms; manufacture of glass in rods or tubes";"manufacture of glass doors, walls, etc.; finishing of other glass, including technical glass (e.g. cutting or mechanically polishing glassware)";Produkcja i obróbka pozostałego szkła, włączając szkło techniczne
23.lut;'2320';Manufacture of refractory products;"manufacture of intermediate products from mined or quarried non-metallic minerals (e.g. gravel, stone or clay); manufacture of refractory mortars, concretes, etc.; manufacture of refractory ceramic goods, e.g.: heat-insulating ceramic goods of siliceous fossil meals; refractory bricks, blocks and tiles, etc.; retorts, crucibles, muffles, nozzles, tubes, pipes, etc. ";"This class also includes:
- manufacture of refractory articles containing magnesium oxide, calcium magnesium oxide or chromite";Produkcja wyrobów ogniotrwałych
23.31;'2331';Manufacture of ceramic tiles and flags;"manufacture of non-refractory ceramic hearth or wall tiles, mosaic cubes, etc.; manufacture of non-refractory ceramic flags and paving";;Produkcja ceramicznych kafli i płytek
23.32;'2332';Manufacture of bricks, tiles and construction products, in baked clay;"manufacture of structural non-refractory ceramic articles, obtained by firing clay building materials (e.g. ceramic bricks, roofing tiles, chimney pots, pipes, conduits); manufacture of flooring blocks in baked clay";;Produkcja cegieł, dachówek i materiałów budowlanych, z wypalanej gliny
23.41;'2341';Manufacture of ceramic household and ornamental articles;manufacture of ceramic tableware, kitchenware, household articles, toilet articles, statuettes and other ornamental articles of ceramics (e.g. porcelain, china, common pottery, stoneware, earthenware or fine pottery);;Produkcja ceramicznych wyrobów stołowych i ozdobnych
23.42;'2342';Manufacture of ceramic sanitary fixtures;"manufacture of ceramic sanitary fixtures (e.g. sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing cisterns); manufacture of ceramic furniture";;Produkcja ceramicznych wyrobów sanitarnych
23.43;'2343';Manufacture of ceramic insulators and insulating fittings;manufacture of electrical insulators and insulating fittings for electrical purposes, of ceramics;;Produkcja ceramicznych izolatorów i osłon izolacyjnych
23.44;'2344';Manufacture of other technical ceramic products;"manufacture of permanent magnets and articles intended to become permanent magnets after magnetisation, of materials other than metal (e.g. agglomerated ferrite); manufacture of ceramic wares for laboratory, chemical or other technical uses";;Produkcja pozostałych technicznych wyrobów ceramicznych
23.45;'2345';Manufacture of other ceramic products;"manufacture of ceramic pots, jars and similar articles, of a kind used for conveyance or packing of goods; manufacture of ceramic troughs, tubs and similar receptacles, of a kind used in agriculture; manufacture of ceramic product";;Produkcja pozostałych wyrobów ceramicznych
23.51;'2351';Manufacture of cement;manufacture of clinker and hydraulic cements, including Portland cement, aluminous cement, slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinker;;Produkcja cementu
23.52;'2352';Manufacture of lime and plaster;"manufacture of quicklime, slaked lime and hydraulic lime; manufacture of plasters of calcined gypsum or calcium sulphate";manufacture of calcined or sintered dolomite;Produkcja wapna i gipsu
23.61;'2361';Manufacture of concrete products for construction purposes;"manufacture of precast concrete, cement or artificial stone articles for use in construction: tiles, flagstones, building blocks, bricks, boards, sheets, panels, pipes, posts, etc.; manufacture of prefabricated structures and structural components for building or civil engineering, traffic control and obstruction, of cement, concrete or artificial stone; manufacture of prefabricated factory-made elements of brick for construction of prefabricated structures to be used in landscaping and retaining wall, wastewater and stormwater management, and underground utilities; manufacture of factory-made elements with concrete;manufacture of prefabricated concrete pipes for drinking water";"manufacture of calcium silicate masonry units; manufacture of autoclaved aerated concrete masonry units";Produkcja wyrobów budowlanych z betonu
23.62;'2362';Manufacture of plaster products for construction purposes;manufacture of articles of plaster or compositions based on plaster for use in construction: boards, sheets, panels, tiles and similar articles, not ornamented;;Produkcja wyrobów budowlanych z gipsu
23.63;'2363';Manufacture of ready-mixed concrete;manufacture of concrete ready to pour, i.e. to which water has already been added and which is usually transported in concrete mixer lorries;;Produkcja masy betonowej prefabrykowanej
23.64;'2364';Manufacture of mortars;manufacture of non-refractory mortars and of concrete not yet mixed with water;;Produkcja zaprawy murarskiej
23.65;'2365';Manufacture of fibre cement;"manufacture of panels, boards, tiles, blocks and similar articles of vegetable substances (e.g. wood wool, straw, reeds, rushes) agglomerated with cement, plaster or other mineral binders; manufacture of articles of asbestos cement or cellulose fibre cement, e.g.: corrugated sheets, other sheets, panels, tiles, tubes, pipes, reservoirs, troughs, basins, sinks, jars, window frames ";;Produkcja cementu wzmocnionego włóknem
23.66;'2366';Manufacture of other articles of concrete, cement and plaster;"manufacture of other articles of concrete, plaster or of compositions based on plaster, cement or artificial stone (e.g. statuary, bas- and haut-reliefs, vases, flowerpots); manufacture of artificial stone (e.g. cultured marble)";"manufacture of ornamented boards or panels of plaster or of compositions based on plaster; other articles of calcium silicate; other articles of autoclaved aerated concrete";Produkcja pozostałych wyrobów z betonu, cementu i gipsu
23.lip;'2370';Cutting, shaping and finishing of stone;"cutting, shaping and finishing of stone (e.g. for use in construction, in cemeteries, on roads, as roofing); manufacture of stone furniture";;Cięcie, formowanie i wykończanie kamienia
23.91;'2391';Manufacture of abrasive products;manufacture of millstones, grindstones, grinding wheels, etc., without frameworks, for grinding, sharpening, trueing or cutting, hand sharpening or polishing stones; manufacture of natural or artificial abrasive powder or grain, on a base of textile material, of paper, of paperboard or of other materials, whether or not cut to shape or sewn or otherwise made;Produkcja wyrobów ściernych
23.99;'2399';Manufacture of other non-metallic mineral products n.e.c.;"manufacture of friction material and unmounted articles thereof with a base of mineral substances or of cellulose; manufacture of mineral insulating materials, e.g.: slag wool, rock wool and similar mineral wools; exfoliated vermiculite, expanded clays and similar heat-insulating, sound-insulating or sound-absorbing materials; manufacture of articles of diverse mineral substances, e.g.: worked mica and articles of mica, of peat, of graphite (other than electrical articles); manufacture of articles of asphalt or similar material (e.g. petroleum bitumen or coal tar pitch); manufacture of carbon and graphite fibres and products (except electrodes and electrical applications); manufacture of artificial corundum";calcination of kaolin;Produkcja pozostałych wyrobów z mineralnych surowców niemetalicznych, gdzie indziej niesklasyfikowana
24.sty;'2410';Manufacture of basic iron and steel and of ferro-alloys;"activities such as the direct reduction of iron ore, production of pig iron in molten or solid form, conversion of pig iron into steel, manufacture of ferro-alloys and manufacture of steel products. operation of blast furnaces, steel converters, rolling and finishing mills; production of pig iron and spiegeleisen in pigs, blocks or other primary forms; production of ferro-alloys; production of ferrous products by direct reduction of iron and other spongy ferrous products; production of iron of exceptional purity by electrolysis or other chemical processes; remelting of scrap ingots of iron or steel; production of granular iron and iron powder; production of steel in ingots or other primary forms; production of semi-finished products of steel; manufacture of hot-rolled and cold-rolled flat-rolled products of steel; manufacture of hot-rolled bars and rods of steel; manufacture of hot-rolled open sections of steel; manufacture of sheet piling of steel and welded open sections of steel; manufacture of railway track materials (unassembled rails) of steel; production of blast furnace gas";manufacture of coated or uncoated flat-rolled steel products in coils or in straight lengths of a width of 600 mm or more by cold re-rolling of hot-rolled flat products or of steel rods;Produkcja surówki żelazostopów, żeliwa i stali oraz wyrobów hutniczych
24.lut;'2420';Manufacture of tubes, pipes, hollow profiles and related fittings, of steel;"manufacture of seamless tubes and pipes of circular or non-circular cross section and of blanks of circular cross section, for further processing, by hot rolling, hot extrusion or by other hot processes of an intermediate product, which can be a bar or a billet obtained by hot rolling or continuous casting; manufacture of precision and non-precision seamless tubes and pipes from hot-rolled or hot-extruded blanks by further processing, by cold drawing or cold rolling of tubes and pipes of circular cross section and by cold drawing only for tubes and pipes of non-circular cross section and hollow profiles; manufacture of welded tubes and pipes of an external diameter exceeding 406,4 mm, cold formed from hot-rolled flat products and longitudinally or spirally welded; manufacture of welded tubes and pipes of an external diameter of 406,4 mm or less of circular cross section by continuous cold or hot forming of hot- or cold-rolled flat products and longitudinally or spirally welded and of non-circular cross section by hot or cold forming into shape from hot- or cold-rolled strip longitudinally welded; manufacture of welded precision tubes and pipes of an external diameter of 406,4 mm or less by hot or cold forming of hot- or cold-rolled strip and longitudinally welded delivered as welded or further processed, by cold drawing or cold rolling or cold formed into shape for tube and pipe of non-circular cross section; manufacture of flat flanges and flanges with forged collars by processing of hot-rolled flat products of steel; manufacture of butt-welding fittings (e.g. elbows and reductions), by forging of hot-rolled seamless tubes of steel; threaded and other tube or pipe fittings of steel";;Produkcja rur, przewodów, kształtowników zamkniętych i łączników, ze stali
24.31;'2431';Cold drawing of bars;manufacture of steel bars, rods, and solid sections of steel by cold drawing, grinding or cold-finishing;;Produkcja prętów ciągnionych na zimno
24.32;'2432';Cold rolling of narrow strip;manufacture of coated or uncoated flat-rolled steel products in coils or in straight lengths of a width less than 600 mm by cold re-rolling of hot-rolled flat products or of steel rods;;Produkcja wyrobów płaskich walcowanych na zimno
24.33;'2433';Cold forming or folding;"manufacture of open sections by progressive cold forming on a roll mill or folding on a press of flat-rolled products of steel; manufacture of cold-formed or cold-folded, ribbed sheets and sandwich panels";;Produkcja wyrobów formowanych na zimno
24.34;'2434';Cold drawing of wire;manufacture of drawn steel wire, by cold drawing of steel wire rod;;Produkcja drutu
24.41;'2441';Precious metals production;"production of basic precious metals: production and refining of unwrought or wrought precious metals: gold, silver, platinum, etc., from ore and scrap; production of precious metal alloys; production of precious metal in semi-manufactured or in powder forms; cladding of base metals with a covering of silver, gold or platinum, affixed by soldering, brazing, welding, hot-rolling or similar mechanical means";"manufacture of wire of precious metals by drawing; manufacture of precious metal plates, sheets, strips and foil laminates; silver recovery from waste and scrap by electrolytic refining; melting and casting of precious metal into ingots, blocks or similar forms";Produkcja metali szlachetnych
24.42;'2442';Aluminium production;"production of unwrought aluminium, alloyed or not alloyed, from alumina or from aluminium waste and scrap; manufacture of aluminium bars, rods, profiles and wire; manufacture of aluminium tubes, pipes, tube and pipe fittings; manufacture of aluminium plates, sheets and strip, whether or not painted, varnished or coated with plastics; manufacture of aluminium foil, whether or not printed or backed with paper, paperboard, plastics or similar backing materials";production of aluminium oxide (alumina);Produkcja aluminium
24.43;'2443';Lead, zinc and tin production;"production of unwrought lead, zinc and tin, alloyed or not alloyed, from ores or from lead, zinc or tin waste and scrap; manufacture of bars, rods, profiles, wire, plates, sheets, strip and foil of lead, zinc or tin";manufacture of zinc powder by atomisation of molten zinc;Produkcja ołowiu, cynku i cyny
24.44;'2444';Copper production;"manufacture of unrefined or refined unwrought copper, alloyed or not alloyed, from ores or from copper waste and scrap; manufacture of bars, rods, profiles, plates, sheets and strip of copper and copper alloys; manufacture of wire of copper and copper alloys; manufacture of tubes, pipes, tube and pipe fittings of copper and copper alloys; manufacture of copper foil, whether or not printed or backed with paper, paperboard, plastics or similar backing materials";manufacture of bars, rods, profiles, plates, sheets, strip, wire, tubes and pipes of brass;Produkcja miedzi
24.45;'2445';Other non-ferrous metal production;"production of unwrought chrome, manganese, nickel, etc., alloyed or not alloyed, from ores or oxides or from electrolytic and aluminothermic refining of chrome, manganese, nickel, etc., waste and scrap; manufacture of bars, rods, profiles and wire of chrome, manganese, nickel, etc.; manufacture of plates, sheets, strip and foil of chrome, manganese, nickel, etc.; production of mattes of nickel; production of other non-ferrous metals";;Produkcja pozostałych metali nieżelaznych
24.46;'2446';Processing of nuclear fuel;"production of natural uranium metal and its compounds from pitchblende or other ores; manufacture of alloys of natural uranium, dispersions (including cermets), ceramic products and mixtures containing natural uranium or natural uranium";;Wytwarzanie paliw jądrowych
24.51;'2451';Casting of iron;"Activities of iron foundries. manufacture of castings made of grey iron castings;  manufacture of castings made of ductile iron castings (including casting of spheroidal graphite iron castings and malleable iron castings); manufacture of castings made of other special iron alloys castings";;Odlewnictwo żeliwa
24.52;'2452';Casting of steel;"manufacture of castings made of alloy or common steel castings; manufacture of castings made of carbon or commercial steel castings; manufacture of castings made of alloy and high alloy castings; manufacture of castings made of stainless-steel castings";;Odlewnictwo staliwa
24.53;'2453';Casting of light metals;"activities of foundries of light metal; manufacture of castings made of aluminium; manufacture of castings made of magnesium; manufacture of castings made of titanium";casting of dental implements, etc., of light metals;Odlewnictwo metali lekkich
24.54;'2454';Casting of other non-ferrous metals;"activities of foundries of other non-ferrous metals; manufacture of castings made of copper, zinc, lead or nickel alloys; manufacture of castings made of other non-ferrous metals alloys";casting of dental implements, etc., of other non-ferrous metals;Odlewnictwo pozostałych metali nieżelaznych
25.lis;'2511';Manufacture of metal structures and parts of structures;"manufacture of metal frameworks or skeletons for construction and parts thereof (towers, lattice masts, trusses, bridges, bridge sections, etc.); manufacture of equipment for scaffolding, shuttering, propping or pit-propping; manufacture of industrial frameworks in metal (frameworks for blast furnaces, lifting and handling equipment, etc.); manufacture of prefabricated buildings mainly of metal: site huts, modular exhibition elements, etc. ";manufacture of supporting structures of metal (e.g. for lights or loudspeakers);Produkcja konstrukcji metalowych i ich części
25.gru;'2512';Manufacture of doors and windows of metal;"manufacture of metal doors, windows and their frames, thresholds for doors, shutters and gates; metal room partitions for floor attachment; manufacture of metal blinds, metal sunblinds and insect screens";manufacture of temporary spatial extensions made of metal;Produkcja drzwi i okien z metalu
25.21;'2521';Manufacture of central heating radiators, steam generators and boilers;"manufacture of radiators for central heating, non-electrically heated; manufacture of steam or other vapour generating boilers; manufacture of auxiliary plant for use with steam or other vapour generating boilers (e.g. economisers, super heaters, steam collectors and accumulators); manufacture of condensers for steam or other vapour power units; manufacture of nuclear reactors, except isotope separators; manufacture of marine or power boilers";;Produkcja grzejników centralnego ogrzewania, wytwornic pary i kotłów
25.22;'2522';Manufacture of other tanks, reservoirs and containers of metal;"manufacture of reservoirs, tanks, vats and similar containers of metal of a capacity exceeding 300 litres, whether or not lined or heat-insulated; manufacture of metal containers for compressed or liquefied gas";;Produkcja pozostałych zbiorników, cystern i pojemników metalowych
25.mar;'2530';Manufacture of weapons and ammunition;"manufacture of military weapons (e.g. artillery weapons, rocket launchers, flame-throwers, grenade launchers, torpedo tubes and similar projectors, machine guns); manufacture of pistols, shotguns and rifles; manufacture of spring, , air or gas guns and pistols, etc.; manufacture of war ammunition; manufacture of cartridges for shotguns, revolvers and pistols; manufacture of bombs, grenades, torpedoes, mines, missiles and similar munitions of war ";manufacture of hunting, sporting or protective firearms and ammunition;Produkcja broni i amunicji
25.kwi;'2540';Forging and shaping metal and powder metallurgy;"general activities for the forming of metal. forging, pressing, stamping and roll-forming of metal; production of metal objects directly from metal powders by heat treatment (sintering) or under pressure, i.e. powder metallurgy";subsequent trimming or descaling of the metal, without any further processing;Kucie i formowanie metali oraz metalurgia proszków
25.51;'2551';Coating of metals;"galvanising, including general (batch) hot-dip galvanising; phosphate or chromate conversion coating; cladding, electroplating, anodising, etc., of metals; colouring of metals; non-metallic coating of metals, e.g.: powder or plastic coating, enamelling, lacquering";;Nakładanie powłok na metale
25.52;'2552';Heat treatment of metals;"general activities for the heat treatment of metals; thermomechanical heat treatment of metals (e.g. preheating, annealing, hardening, tempering, quenching, deep freezing of metal); thermochemical heat treatment of metals (e.g. carburising, carbonitriding, nitrocarburising, nitriding, oxidising, sulphidising, boriding)";;Obróbka cieplna metali
25.53;'2553';Machining of metals;"boring, turning, milling, eroding, planing, lapping, broaching, levelling, sawing, grinding, sharpening, deburring, sandblasting, tumbling, polishing, buffing, welding, splicing, etc., of metalwork pieces; cutting of and engraving or writing on metals by means of laser beams";;Obróbka mechaniczna elementów metalowych
25.61;'2561';Manufacture of cutlery;"manufacture of domestic cutlery (e.g. knives, forks, spoons); manufacture of other articles of cutlery, e.g.: cleavers and choppers; razors and razor blades; scissors and hair clippers; manufacture of cutlasses, swords, bayonets, etc.";;Produkcja wyrobów nożowniczych i sztućców
25.62;'2562';Manufacture of locks and hinges;manufacture of hardware, such as padlocks, locks, keys, hinges (e.g. base metal mountings, fittings and similar articles for buildings, furniture, vehicles);;Produkcja zamków i zawiasów
25.63;'2563';Manufacture of tools;";manufacture of knives and cutting blades for machines or for mechanical appliances; manufacture of hand tools (e.g. pliers, screwdrivers); manufacture of non-power-driven agricultural hand tools; manufacture of saws and saw blade";;Produkcja narzędzi
25.91;'2591';Manufacture of steel drums and similar containers;manufacture of iron or steel tanks, cans, drums, buckets, boxes and similar containers, of a capacity not exceeding 300 litres;;Produkcja pojemników metalowych
25.92;'2592';Manufacture of light metal packaging;"manufacture of iron or steel cans which are to be closed by soldering or crimping, of a capacity of less than 50 litres; manufacture of aluminium casks, drums, cans, boxes and similar containers, of a capacity not exceeding 300 litres; manufacture of tins and cans for food products, collapsible tubes and boxes; manufacture of metallic closures ";;Produkcja opakowań z metali lekkich
25.93;'2593';Manufacture of wire products, chain and springs;"manufacture of metal cable, plaited bands and similar articles; manufacture of uninsulated metal cable or insulated cable not capable of being used as a conductor of electricity; manufacture of coated or cored wire; manufacture of articles made of wire (e.g. barbed wire, wire fencing, grill, netting, cloth); coated electrodes for electric arc welding; manufacture of nails and pins; manufacture of springs (except watch springs), e.g.: leaf springs, helical springs, torsion bar springs; leaves for springs; manufacture of chain, except power transmission chain";;Produkcja wyrobów z drutu, łańcuchów i sprężyn
25.94;'2594';Manufacture of fasteners and screw machine products;"manufacture of rivets, washers and similar non-threaded products; manufacture of screw machine products; manufacture of bolts, screws, nuts and similar threaded products";;Produkcja złączy i śrub
25.99;'2599';Manufacture of other fabricated metal products n.e.c.;"manufacture of metal household articles: flatware: plates, saucers, etc.; hollowware: pots, kettles, etc.; dinnerware: bowls, platters, etc.; saucepans, frying pans and other non-electrical utensils for use at the table or in the kitchen; small hand-operated kitchen appliances and accessories; metal scouring pads; manufacture of building components of zinc: gutters, roof capping, baths, sinks, washbasins and similar articles; manufacture of metal goods for office use, except furniture; manufacture of safes, strongboxes, armoured doors, etc.; manufacture of various metal articles: ship propellers and blades thereof, anchors, bells, assembled railway track fixtures, clasps, buckles, hooks, metal ladders, metal signs, including road signs; manufacture of foil bags; manufacture of permanent metallic magnets; manufacture of metal vacuum jugs and bottles; manufacture of metal badges and metal military insignia; manufacture of metal hair curlers, metal umbrella handles and frames, combs";;Produkcja pozostałych gotowych wyrobów metalowych, gdzie indziej niesklasyfikowana
26.lis;'2611';Manufacture of electronic components;"manufacture of semiconductors and other components for electronic applications. manufacture of capacitors, electronic; manufacture of resistors, electronic; manufacture of microprocessors; manufacture of electron tubes; manufacture of electronic connectors; manufacture of cables, printer cables, monitor cables, universal serial bus (USB) cables; manufacture of bare printed circuit boards, consisting only of conductor elements and contacts; manufacture of integrated circuits (analogue, digital or hybrid); manufacture of diodes, transistors and related discrete devices; manufacture of inductors (e.g. chokes, coils, transformers), electronic component-type transformers; manufacture of electronic crystals and crystal assemblies; manufacture of solenoids, switches and transducers for electronic applications; manufacture of dice or wafers; which consist of chemical elements (e.g. silicon); that are selectively doped or diffused to create discrete regions for the purposes of their applications in the field of electronics; manufacture of display components (plasma, polymer, liquid crystal displays (LCDs)); manufacture of light-emitting diodes (LEDs); manufacture of photovoltaic cells, modules and panels";;Produkcja elementów elektronicznych
26.gru;'2612';Manufacture of loaded electronic boards;"manufacture of loaded printed circuit boards consisting of conductor elements, contacts and other passive elements; loading of passive elements (components) onto printed circuit boards; manufacture of interface cards (e.g. sound, video, controllers, network, modems) loaded with passive elements ";;Produkcja elektronicznych obwodów drukowanych
26.lut;'2620';Manufacture of computers and peripheral equipment;"manufacture and/or assembly of electronic computers (for example, mainframes, desktop computers, laptops, computer servers); computer peripheral equipment (for example, storage devices, input/output devices, such as printers, monitors, keyboards). Computers can be analogue, digital, or hybrid. Digital computers, the most common type, are devices that do all of the following: store the processing program or programs and the data immediately necessary for the execution of a program, can be freely programmed in accordance with the requirements of the user, perform arithmetical computations specified by the user and execute, without human intervention, a processing program that requires the computer to modify its execution by logical decision during the processing run. Analogue computers are capable of simulating mathematical models and comprise at least analogue control and programming elements.  manufacture of desktop computers; manufacture of laptop computers; manufacture of mainframe computers; manufacture of handheld computers; manufacture of magnetic disk drives, flash drives and other storage devices; manufacture of optical disc drives for computers; manufacture of printers; manufacture of monitors; manufacture of keyboards; manufacture of all types of mice, joysticks, and trackball accessories; manufacture of dedicated computer terminals; manufacture of computer servers; manufacture of scanners, including barcode scanners; manufacture of smart card readers; manufacture of computer projectors (video beamers); manufacture of toner cartridges";"manufacture of computer terminals, like automatic teller machines (ATMs) and point-of-sale (POS) terminals, not mechanically operated; manufacture of multifunction office equipment performing two or more of the following functions (e.g. printing, scanning, copying, telefaxing); refilling of ink cartridges";Produkcja komputerów i urządzeń peryferyjnych
26.mar;'2630';Manufacture of communication equipment;"manufacture of telephone and data communication equipment used to move signals electronically through wired or wireless networks (for example, radio and television broadcasts, wireless communication equipment). manufacture of central office switching equipment; manufacture of cordless telephones; manufacture of private branch exchange (PBX) equipment; manufacture of telephone and facsimile equipment, including telephone answering machines; manufacture of data communication equipment (e.g. bridges, routers, gateways); manufacture of transmitting and receiving antenna; manufacture of cable television equipment; manufacture of pagers; manufacture of mobile telephones; manufacture of mobile communication equipment; manufacture of radio and television studio and broadcasting equipment, including television cameras; manufacture of modems, carrier equipment; manufacture of radio and television transmitters; manufacture of communication devices using infra-red signals (e.g. remote controls)";manufacture of smartwatches;Produkcja sprzętu (tele)komunikacyjnego
26.kwi;'2640';Manufacture of consumer electronics;"manufacture of electronic audio and video equipment for home entertainment, motor vehicle, public address systems and musical instrument amplification. manufacture of video recorders and duplicating equipment; manufacture of televisions; manufacture of television monitors and displays; manufacture of audio recording and duplicating equipment; manufacture of multimedia projectors suitable for use only or principally with transmission and reception apparatus for television broadcasting; manufacture of stereo equipment; manufacture of radio receivers; manufacture of speaker systems; manufacture of household-type video cameras; manufacture of jukeboxes; manufacture of amplifiers for musical instruments and public address systems; manufacture of microphones; manufacture of optical media players with optical reading systems; manufacture of karaoke machines; manufacture of headphones (e.g. for radio, stereo, computer); manufacture of video game consoles; manufacture of personal audio and video headsets, including virtual reality headsets; manufacture of home theatre audio and video equipmen";;Produkcja elektronicznego sprzętu powszechnego użytku
26.51;'2651';Manufacture of instruments and appliances for measuring, testing and navigation;"This class comprises the manufacture of search, detection, navigation, guidance, aeronautical and nautical systems and instruments; automatic controls and regulators for applications (for example, heating, air conditioning, refrigeration and appliances); instruments and devices for measuring, displaying, indicating, recording, transmitting and controlling temperature, humidity, pressure, vacuum, combustion, flow, level, viscosity, density, acidity, concentration and rotation; totalising (in other words, registering) fluid meters and counting devices; instruments for measuring and testing the characteristics of electricity and electrical signals; instruments and instrumentation systems for laboratory analysis of the chemical/physical composition or concentration of samples of solid, fluid, gaseous or composite materials; other measuring and testing instruments; and parts thereof. The manufacture of non-electric measuring, testing and navigating equipment (except simple mechanical tools) is included here. manufacture of aircraft engine instruments; manufacture of automotive emissions testing equipment; manufacture of meteorological instruments; manufacture of physical properties testing and inspection equipment; manufacture of polygraph machines; manufacture of radiation detection and monitoring instruments; manufacture of surveying instruments; manufacture of thermometers liquid-in-glass and bi-metal types (except medical); manufacture of humidistats; manufacture of hydronic limit controls; manufacture of flame and burner control; manufacture of spectrometers; manufacture of pneumatic gauges; manufacture of consumption meters (e.g. water, gas, electricity); manufacture of flow meters and counting devices; manufacture of tally counters; manufacture of mine detectors, pulse (signal) generators; metal detectors; manufacture of search, detection, navigation, aeronautical and nautical equipment, including sonobuoys; manufacture of radar equipment; manufacture of global positioning system (GPS) devices; manufacture of burglar- and fire-alarm systems, sending signals to a control station; manufacture of environmental controls and automatic controls for appliances; manufacture of measuring and recording equipment (e.g. flight recorders); manufacture of motion detectors; manufacture of radars; manufacture of laboratory analytical instruments (e.g. blood analysis equipment); manufacture of laboratory scales, balances, incubators and miscellaneous laboratory apparatus for measuring, testing, etc.; manufacture of sensors and sensing equipment";;Produkcja instrumentów i przyrządów pomiarowych, kontrolnych i nawigacyjnych
