kod czteroznakowy;Nazwa;Synteza;Zadania;Uwagi
4120;Sekretarki (ogólne);Sekretarki (ogólne) korzystaj¹ z maszyn do pisania, komputerów oraz innych urz¹dzeñ do edycji tekstu w celu przepisywania treœci korespondencji i innych dokumentów, sprawdzania i formatowania dokumentów przygotowanych przez innych pracowników, zajmuj¹ siê zarz¹dzaniem przychodz¹c¹ i wychodz¹c¹ korespondencj¹ pocztow¹, sprawdzaniem wniosków o spotkanie lub wizyty oraz wykonywaniem szeregu ró¿nych zadañ administracyjnych.;"Zadania wykonywane przez sekretarki (ogólne) zazwyczaj obejmuj¹: sprawdzanie, formatowanie i przepisywanie korespondencji, protoko³ów i sprawozdañ ze s³uchu, dokumentów elektronicznych lub wersji roboczych tak, by odpowiada³y one standardom biura, z wykorzystaniem maszyny do pisania, komputera lub innych urz¹dzeñ do edycji tekstu; wykorzystywanie ró¿nego oprogramowania komputerowego, w tym arkuszy kalkulacyjnych w celu zapewnienia wsparcia administracyjnego; zarz¹dzanie przychodz¹c¹ i wychodz¹c¹ korespondencj¹; skanowanie, zapisywanie i rozdzielanie poczty, korespondencji i dokumentów; sprawdzanie wniosków o spotkania i wizyty oraz pomoc w organizacji spotkañ; kontrolê i prowadzenie rejestru urlopów i wykorzystania innych uprawnieñ przys³uguj¹cych pracownikom; organizowanie i nadzorowanie systemów przechowywania dokumentów; zarz¹dzanie regularn¹ korespondencj¹ z w³asnej inicjatywy; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
4131;Operatorzy edytorów tekstu;"Operatorzy edytorów tekstu wpisuj¹, edytuj¹ i drukuj¹ za pomoc¹, komputera lub innego edytora tekstu oraz zapisuj¹ teksty mówione lub pisane w formie
stenografii.";"Zadania wykonywane przez operatorów edytorów tekstu zazwyczaj obejmuj¹: tworzenie pisemnych dokumentów z wersji roboczych, wersji skorygowanych, nagrañ dŸwiêkowych oraz stenografii za pomoc¹ komputera lub procesora tekstu; sprawdzanie gotowych dokumentów pod k¹tem b³êdów w ortograficznych, gramatycznych, interpunkcyjnych oraz b³êdów w formatowaniu; gromadzenie i porz¹dkowanie materia³ów, które maj¹ byæ przepisane, zgodnie z instrukcjami; archiwizowanie i przechowywanie dokumentów na dysku twardym komputera lub na dysku przenoœnym, zarz¹dzanie systemem komputerowym s³u¿¹cym do przechowywania, odzyskiwania lub aktualizowania dokumentów; sporz¹dzanie notatek ze s³uchu metod¹ stenografowania; przedstawianie s³owa mówionego, s³ów piosenek, itp. w formie napisów w filmach i programach telewizyjnych; odtwarzanie stenogramu i nagranych tekstów, dokonywanie ich weryfikacji i korekty; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";4131 tekstu ok
4131;Operatorzy edytorów tekstu;Operatorzy wprowadzania danych wprowadzaj¹ zakodowane, statystyczne, finansowe i inne liczbowe dane do urz¹dzeñ elektronicznych, komputerowych baz danych, arkuszy kalkulacyjnych oraz innych zbiorów danych za pomoc¹ klawiatury, skanera optycznego, oprogramowania s³u¿¹cego do rozpoznawania g³osu lub innych narzêdzi do wprowadzania danych. Wprowadzaj¹ dane do urz¹dzeñ mechanicznych lub elektronicznych, które s³u¿¹ przeprowadzaniu matematycznych obliczeñ.;"Zadania wykonywane przez operatorów edytorów tekstu zazwyczaj obejmuj¹: tworzenie pisemnych dokumentów z wersji roboczych, wersji skorygowanych, nagrañ dŸwiêkowych oraz stenografii za pomoc¹ komputera lub procesora tekstu; sprawdzanie gotowych dokumentów pod k¹tem b³êdów w ortograficznych, gramatycznych, interpunkcyjnych oraz b³êdów w formatowaniu; gromadzenie i porz¹dkowanie materia³ów, które maj¹ byæ przepisane, zgodnie z instrukcjami; archiwizowanie i przechowywanie dokumentów na dysku twardym komputera lub na dysku przenoœnym, zarz¹dzanie systemem komputerowym s³u¿¹cym do przechowywania, odzyskiwania lub aktualizowania dokumentów; sporz¹dzanie notatek ze s³uchu metod¹ stenografowania; przedstawianie s³owa mówionego, s³ów piosenek, itp. w formie napisów w filmach i programach telewizyjnych; odtwarzanie stenogramu i nagranych tekstów, dokonywanie ich weryfikacji i korekty; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";4131 danych ok
4211;Kasjerzy bankowi i pokrewni;Kasjerzy bankowi i pokrewni zajmuj¹ siê bezpoœredni¹ obs³ug¹ klienta w bankach i urzêdach pocztowych w zakresie pobierania, wymiany i wyp³acania pieniêdzy lub œwiadczenia us³ug pocztowych i telekomunikacyjnych, wykonuj¹ czynnoœci zwi¹zane z nadzorem prawid³owoœci obs³ugi klientów oraz przechowywaniem w skarbcu zapasów pieniê¿nych i depozytów klientów.;"Zadania wykonywane przez kasjerów bankowych i pokrewnych pracowników zazwyczaj obejmuj¹: obs³ugê depozytów pieniê¿nych i wyp³at gotówki, czeków, przelewów, rachunków, p³atnoœci kart¹ kredytow¹, przekazów pieniê¿nych, czeków potwierdzonych oraz innych powi¹zanych transakcji bankowych; zapisywanie wp³ywów i obci¹¿eñ kredytowych na rachunkach bankowych klientów; op³acanie rachunków i dokonywanie przelewów na ¿yczenie klienta; prowadzenie rejestru wszystkich transakcji i zestawianie ich z saldem rachunku; dokonywanie wymiany walut zgodnie z poleceniem klienta; przyjmowanie i wydawanie przesy³ek pocztowych, sprzeda¿ znaczków pocztowych i œwiadczenie innych typowych us³ug pocztowych, takich jak: op³aty rachunków, przelewy pieniê¿ne, itd.; przyjmowanie op³at i wykonywanie us³ug telekomunikacyjnych; organizowanie i nadzorowanie pracy kasjerów i kontrolowanie zgodnoœci i prawid³owoœci rozliczeñ; informowanie klientów o nowych us³ugach bankowych i pocztowych; przechowywanie i zabezpieczanie w skarbcu wartoœci pieniê¿nych i depozytów klientów; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
4212;Bukmacherzy, krupierzy i pokrewni;Bukmacherzy, krupierzy i pokrewni zajmuj¹ siê szacunkiem szans na wygran¹ oraz pobieraniem i wyp³acaniem pieniêdzy obstawianych na mecze sportowe i inne wydarzenia, prowadz¹ kolektury gier liczbowych lub organizuj¹ gry losowe w lokalach gier losowych.;"Zadania wykonywane przez bukmacherów, krupierów i pokrewnych pracowników zazwyczaj obejmuj¹: okreœlanie ryzyka, by oszacowaæ prawdopodobieñstwo wygranej i ograniczyæ lub wykluczyæ przyjmowanie zak³adów; przygotowywanie i publikowanie list zak³adów; objaœnianie i interpretacjê zasad dzia³ania lokalu gier losowych; rozdawanie kart, rzucanie koœæmi lub obs³uga ko³a ruletki w kasynach gry; og³aszanie zwyciêzców, wyp³acanie wygranej i zbieranie p³atnoœci od pozosta³ych uczestników; przyjmowanie zak³adów gier liczbowych i wyp³acanie wygranych ni¿szego stopnia; wykonywanie innych zadañ pokrewnych.";
4213;Pracownicy lombardów i instytucji po¿yczkowych;Pracownicy lombardów i instytucji po¿yczkowych po¿yczaj¹ pieni¹dze pod zastaw przedmiotów, nieruchomoœci lub innych zabezpieczeñ.;"Zadania wykonywane przez pracowników lombardów i instytucji po¿yczkowych zazwyczaj obejmuj¹: szacowanie wartoœci zastawionych przedmiotów, obliczanie odsetek i po¿yczanie pieniêdzy; zwracanie przedmiotów po sp³acie po¿yczki lub w przypadku braku sp³aty, sprzeda¿ zastawionych przedmiotów; po¿yczanie pieniêdzy pod zastaw przysz³ych zysków przedsiêwziêæ; odbieranie kwot po¿yczonych w sytuacji zagro¿enia zastawu w postaci przysz³ych zysków; prowadzenie rejestru otrzymanych w zastaw przedmiotów oraz otrzymanych";
4214;Windykatorzy i pokrewni;Windykatorzy i pokrewni zajmuj¹ siê œci¹ganiem zaleg³oœci podatkowych, p³atnoœci z tytu³u zad³u¿enia konta, czeków bez pokrycia lub roszczeñ wierzycieli, jak równie¿ pobieraniem op³at za zu¿ycie mediów energetycznych.;"Zadania wykonywane przez windykatorów i pokrewnych pracowników zazwyczaj obejmuj¹: odszukiwanie i lokalizacjê d³u¿ników; nawi¹zywanie kontaktu telefonicznego, osobistego i korespondencyjnego z d³u¿nikami w celu odzyskania d³ugu lub uzgodnienia póŸniejszej p³atnoœci; sporz¹dzanie sprawozdañ obejmuj¹cych kwotê odzyskanych pieniêdzy i prowadzenie rejestru i dokumentacji dotycz¹cych dzia³alnoœci windykacyjnej; zalecanie wyst¹pienia na drogê s¹dow¹ lub odst¹pienie od czynnoœci windykacyjnych w przypadkach, gdy d³ug z ró¿nych powodów nie mo¿e zostaæ odzyskany; kontrolowanie wielkoœci zu¿ycia energii elektrycznej, gazu, ciep³a lub wody przez odbiorców oraz pobieranie z tego tytu³u nale¿noœci; wykonywanie innych zadañ pokrewnych.";
4221;Konsultanci i inni pracownicy biur podró¿y;Konsultanci i inni pracownicy biur podró¿y udzielaj¹ informacji, opracowuj¹ plan podró¿y, s¹ odpowiedzialni za rezerwacjê œrodków transportu i zakwaterowania oraz organizacjê wycieczek grupowych.;"Zadania wykonywane przez konsultantów i innych pracowników biur podró¿y zazwyczaj obejmuj¹: zdobywanie informacji dotycz¹cych dostêpnoœci, ceny i standardu ró¿nych rodzajów œrodków transportu i zakwaterowania, zapewnianie zgodnoœci proponowanych rozwi¹zañ z oczekiwaniami klientów i doradzanie im odnoœnie organizacji podró¿y; opracowywanie planów podró¿y; dokonywanie i potwierdzanie rezerwacji; wydawanie biletów i voucherów; pomaganie klientom w zdobyciu niezbêdnych dokumentów podró¿nych, takich jak: wizy; wystawianie rachunków i przyjmowanie p³atnoœci; organizowanie wycieczek grupowych, biznesowych i wypoczynkowych dla grup i klientów indywidualnych; sprawowanie w imieniu biura podró¿y opieki nad turystami w miejscu pobytu; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
4222;Pracownicy centrów obs³ugi telefonicznej (pracownicy call center);Pracownicy centrów obs³ugi telefonicznej (pracownicy call center) œwiadcz¹ us³ugi konsultacyjne i informacyjne dla klientów w zakresie produktów, us³ug i polityki przedsiêbiorstwa lub organizacji, obs³uguj¹ transakcje finansowe za;"Zadania wykonywane przez pracowników centrów obs³ugi telefonicznej (pracowników call center) zazwyczaj obejmuj¹: obs³ugê po³¹czeñ telefonicznych od klientów poprzez udzielanie im informacji, œwiadczenie us³ugi lub reagowanie na skargi; rozpoznawanie potrzeb i wprowadzanie informacji na ten temat do systemu komputerowego; przekazywanie zadañ w stosownych przypadkach, do innych jednostek; wystawianie faktur i obs³ugê p³atnoœci; wysy³anie do klientów listów, formularzy informacyjnych i innych dokumentów; doradzanie klientom w zakresie dodatkowych produktów lub us³ug; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
4223;Operatorzy centrali telefonicznych;Operatorzy centrali telefonicznych obs³uguj¹ urz¹dzenia centrali telefonicznej w celu realizacji po³¹czeñ telefonicznych, odebrania po³¹czeñ klientów pytaj¹cych o informacje lub zg³aszaj¹cych problem, nagrywania i przekazywania wiadomoœci innym pracownikom lub klientom.;"Zadania wykonywane przez operatorów centrali telefonicznych zazwyczaj obejmuj¹: obs³ugê ³¹cznicy telefonicznej w celu nawi¹zania, wstrzymania, prze³¹czenia lub odrzucenia po³¹czeñ telefonicznych; realizowanie po³¹czeñ wychodz¹cych; udzielanie informacji i nagrywanie wiadomoœci; przekazywanie wiadomoœci innym pracownikom lub klientom; identyfikacja problemów w systemie operacyjnym i zg³aszanie awarii s³u¿bom serwisowym.";
4224;Recepcjoniœci hotelowi;Recepcjoniœci hotelowi rejestruj¹ goœci, przydzielaj¹ pokoje, wydaj¹ klucze, udzielaj¹ informacji o us³ugach oferowanych w hotelu, dokonuj¹ rezerwacji, prowadz¹ rejestr pokoi dostêpnych dla goœci, informuj¹ goœci o kosztach pobytu i przyjmuj¹ p³atnoœci.;"Zadania wykonywane przez recepcjonistów hotelowych zazwyczaj obejmuj¹: prowadzenie wykazu pokoi dostêpnych dla goœci, mo¿liwych do zarezerwowania lub przydzielenia; rejestracjê przyby³ych goœci, przydzielanie pokojów, weryfikowanie wiarygodnoœci klientów i wydawanie kluczy; udzielanie informacji na temat dostêpnych pokojów i dokonywanie ich rezerwacji; udzielanie informacji o us³ugach œwiadczonych w hotelu i dostêpnych w okolicy; reagowanie na skargi goœci oraz zgodnie z zapotrzebowaniem, organizowanie obs³ugi pokojowej lub obs³ugi technicznej; kontaktowanie siê z pracownikami obs³ugi pokojowej lub technicznej w sprawach zg³aszanych przez goœci hotelowych; obci¹¿anie i kontrolowanie rachunków goœci za pomoc¹ systemów komputerowych lub";
4225;Pracownicy biur informacji;Pracownicy biur informacji odpowiadaj¹ na osobiste, pisemne, elektroniczne lub telefoniczne pytania dotycz¹ce produktów i us³ug, udzielaj¹ informacji lub odsy³aj¹ do innych Ÿróde³ informacji. Pracuj¹ oni w miejscach umo¿liwiaj¹cych bezpoœredni kontakt z klientem, miejscem produkcji lub œwiadczenia us³ug.;"Zadania wykonywane przez pracowników biur informacji zazwyczaj obejmuj¹: odpowiadanie na pytania dotycz¹ce produktów lub us³ug oraz udzielanie informacji odnoœnie ich dostêpnoœci, lokalizacji, ceny i powi¹zanych z tym kwestii; odpowiadanie na pytania w przypadku powstania problemów oraz udzielanie konsultacji, informacji i wsparcia; zapisywanie informacji dotycz¹cych pytañ i skarg; przekazywanie z³o¿onych pytañ do kierowników zespo³ów lub doradców- ekspertów; wydawanie zainteresowanym stosownych formularzy, pakietów informacyjnych i broszur; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
4226;Recepcjoniœci (z wy³¹czeniem hotelowych);Recepcjoniœci (z wy³¹czeniem hotelowych) przyjmuj¹ i witaj¹ odwiedzaj¹cych, klientów i goœci, udzielaj¹ informacji oraz na proœbê klientów, ustalaj¹ termin spotkania.;"Zadania wykonywane przez recepcjonistów (z wy³¹czeniem hotelowych) zazwyczaj obejmuj¹: przyjmowanie i witanie odwiedzaj¹cych, goœci lub klientów; wyznaczanie terminów spotkañ dla klientów; telefoniczne udzielanie informacji i ustalanie terminów; kierowanie klientów to odpowiednich miejsc lub osób; wystawianie przepustek uprawniaj¹cych do wstêpu na teren zamkniêty; udostêpnianie pakietów informacyjnych, broszur lub formularzy; wykonywanie innych zadañ pokrewnych.";
4227;Ankieterzy;Ankieterzy przeprowadzaj¹ badania ankietowe na ró¿ne tematy i zapisuj¹ odpowiedzi respondentów.;"Zadania wykonywane przez ankieterów zazwyczaj obejmuj¹: nawi¹zywanie kontaktu telefonicznego lub osobistego z badanymi i wyjaœnianie celu przeprowadzanej ankiety; zadawanie pytañ po przedstawieniu zarysu";
4311;Pracownicy do spraw rachunkowoœci i ksiêgowoœci;Pracownicy do spraw rachunkowoœci i ksiêgowoœci wprowadzaj¹ do komputera, klasyfikuj¹ i prowadz¹ rejestr danych liczbowych uzupe³niaj¹cych rejestr finansowy. Wykonuj¹ oni szeroki zakres obowi¹zków zwi¹zanych z obliczeniami, zapisami ksiêgowymi i weryfikacj¹ w celu pozyskania zasadniczych danych finansowych wykorzystywanych w prowadzeniu ksiêgowoœci.;"Zadania wykonywane przez pracowników do spraw rachunkowoœci i ksiêgowoœci zazwyczaj obejmuj¹: weryfikacjê danych, zapisów i dokumentów pod k¹tem poprawnoœci wprowadzenia, poprawnoœci obliczeñ i poprawnoœci wprowadzonych kodów; obs³ugê komputerów wyposa¿onych w oprogramowanie ksiêgowe do prowadzenia rejestru, magazynowania i analizowania informacji; klasyfikowanie, zapisywanie oraz podsumowywanie danych liczbowych i finansowych w celu opracowania i prowadzenia rejestru finansowego przy wykorzystaniu ksi¹g g³ównych oraz komputerów; obliczanie, przygotowywanie i wystawianie rachunków, faktur, wyci¹gów z kont i innych sprawozdañ finansowych zgodnie z przyjêt¹ procedur¹; przygotowywanie statystycznych, finansowych, ksiêgowych i kontrolnych raportów i wykresów dotycz¹cych takich kwestii, jak: rachunki za transakcje gotówkowe, wierzytelnoœci i zad³u¿enie oraz zyski i straty; wykonywanie innych zadañ pokrewnych.";
4312;Pracownicy do spraw statystyki, finansów i ubezpieczeñ;Pracownicy do spraw statystyki, finansów i ubezpieczeñ pozyskuj¹, opracowuj¹ i wprowadzaj¹ do komputera dane statystyczne i aktuarialne lub wykonuj¹ zadania biurowe zwi¹zane z transakcjami przedsiêbiorstw ubezpieczeniowych, banków i innych instytucji.;"Zadania wykonywane przez pracowników do spraw statystyki, finansów i ubezpieczeñ zazwyczaj obejmuj¹: przetwarzanie zg³oszeñ o objêcie ubezpieczeniem lub anulowanie ubezpieczenia, roszczeñ odszkodowawczych, zmian warunków ubezpieczenia i dokonywanie p³atnoœci; pozyskiwanie i opracowywanie danych statystycznych i aktuarialnych w oparciu o standardowe lub specjalne Ÿród³a informacji; obliczanie wartoœci ogólnych, œrednich, odsetek i innych szczegó³ów oraz przedstawianie ich zgodnie z wymaganiami w formie graficznej; przygotowywanie dokumentów finansowych i obliczanie nale¿nego oprocentowania, op³at maklerskich oraz op³at skarbowych; prowadzenie rejestru";
4313;Pracownicy obs³ugi p³acowej;Pracownicy obs³ugi p³acowej zbieraj¹, weryfikuj¹ i przetwarzaj¹ informacje dotycz¹ce listy p³ac oraz wprowadzaj¹ do komputera informacje o wynagrodzeniu i œwiadczeniach przys³uguj¹cych pracownikom w dziale, przedsiêbiorstwie lub innej instytucji.;"Zadania wykonywane przez pracowników obs³ugi p³acowej zazwyczaj obejmuj¹: prowadzenie rejestru frekwencji pracowników, dni wolnych i nadgodzin w celu obliczenia przys³uguj¹cego wynagrodzenia i œwiadczeñ; sporz¹dzanie listy p³ac z tytu³u wynagrodzeñ pracowników i innych œwiadczeñ, dokonywanie przelewów na rachunek osobisty pracownika lub przekazywanie wyp³at gotówkowych do realizacji w kasie jednostki; sprawdzanie list obecnoœci, grafików pracy, wyliczonych p³ac i innych informacji w celu wykrycia niezgodnoœci; weryfikowanie frekwencji i przepracowanych godzin, dokonywanie korekty dochodów i umieszczanie informacji w odpowiednich rejestrach; opracowywanie i weryfikowanie zaœwiadczeñ o zarobkach pracowników, zawieraj¹cych informacje o pensji brutto i netto oraz kwotach potr¹canych, takich jak: podatki, sk³adki na zwi¹zki zawodowe, zad³u¿enie, sk³adki ubezpieczeniowe i emerytalne; wykonywanie innych zadañ pokrewnych.";
4321;Magazynierzy i pokrewni;Magazynierzy i pokrewni prowadz¹ ewidencjê gotowych produktów, surowców i materia³ów produkcyjnych przyjêtych, zwa¿onych, wydanych, wys³anych i zmagazynowanych, prowadz¹ punkty skupu surowców i wypo¿yczalnie towarów oraz przeprowadzaj¹ inwentaryzacjê magazynowanych towarów lub inwentaryzacjê œrodków gospodarczych przedsiêbiorstwa czy instytucji.;"Zadania wykonywane przez magazynierów i pokrewnych pracowników zazwyczaj obejmuj¹: porz¹dkowanie i kontrolowanie przyjêtych i wysy³anych towarów oraz prowadzenie w³aœciwej ewidencji; prowadzenie ewidencji magazynowej, weryfikowanie wydanych towarów, szacowanie potrzeb i sk³adanie zapotrzebowania; odbieranie, magazynowanie i wydawanie narzêdzi, czêœci zamiennych i innego sprzêtu oraz prowadzenie w³aœciwej ewidencji; wa¿enie towarów przyjmowanych, wydanych, wyprodukowanych i wys³anych oraz prowadzenie ewidencji; prowadzenie inwentaryzacji przedmiotów przyjêtych do magazynu; wykonywanie czynnoœci zwi¹zanych ze skupem surowców rolnych; wykonywanie czynnoœci zwi¹zanych z odp³atnym wypo¿yczaniem ró¿nych towarów; ewidencjonowanie i weryfikowanie stanu maj¹tku przedsiêbiorstwa lub instytucji oraz przeprowadzanie inwentaryzacji w celu ustalenia rzeczywistego stanu œrodków gospodarczych; wykonywanie innych zadañ pokrewnych.";
4322;Planiœci produkcyjni;Planiœci produkcyjni obliczaj¹ iloœci materia³ów potrzebnych do produkcji przemys³owej, budownictwa i innych planów produkcyjnych, przygotowuj¹ i sprawdzaj¹ harmonogramy produkcyjne.;"Zadania wykonywane przez planistów produkcyjnych zazwyczaj obejmuj¹: obliczanie iloœci, okreœlanie jakoœci i rodzajów materia³ów na podstawie planów produkcyjnych; przygotowywanie harmonogramów dostaw materia³owych w sposób dostosowany do potrzeb produkcyjnych oraz prowadzenie odpowiednich zapisów; przygotowywanie lub pomoc w przygotowaniu harmonogramów produkcji na podstawie zamówieñ klientów oraz zgodnie z mo¿liwoœciami i wydajnoœci¹ produkcyjn¹; weryfikowanie stanu zapasów w magazynie, organizowanie dostaw i badanie przyczyn opóŸnieñ; prowadzenie ewidencji i koordynowanie przep³ywu pracy i materia³ów pomiêdzy oddzia³ami przedsiêbiorstwa; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
4323;Pracownicy do spraw transportu;Pracownicy do spraw transportu rejestruj¹ i kontroluj¹ dzia³alnoœæ operacyjn¹ transportu, koordynuj¹ towarowy i pasa¿erski transport kolejowy, drogowy i powietrzny oraz przygotowuj¹ sprawozdania dla kierownictwa.;"Zadania wykonywane przez pracowników do spraw transportu zazwyczaj obejmuj¹: prowadzenie rejestru dzia³alnoœci operacyjnej i koordynacjê kolejowego transportu pasa¿erskiego i towarowego; zarz¹dzanie rozk³adem jazdy poci¹gów w danym okrêgu komunikacyjnym i prowadzenie odpowiedniego rejestru; zarz¹dzanie, kontrolowanie i rejestrowanie za³adunku i roz³adunku towarów na rampach kolejowych; koordynowanie i rejestrowanie dzia³alnoœci operacyjnej transportu drogowego, takiej jak: rozk³ady jazdy pojazdów i grafiki kierowców, za³adunek i roz³adunek pojazdów i sk³adowanie towarów tranzytowych; przyjmowanie zleceñ telefonicznych na samochodowe us³ugi przewozowe, pasa¿erskie lub pasa¿ersko-towarowe i koordynowanie ich realizacji; koordynowanie i rejestrowanie dzia³alnoœci operacyjnej pasa¿erskiego i towarowego transportu powietrznego, takiej jak: prowadzenie list pasa¿erów i wykazów ³adunku; przygotowywanie sprawozdañ dla kierownictwa; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
4411;Pomocnicy biblioteczni;Pomocnicy biblioteczni wydaj¹ i odbieraj¹ materia³y, sortuj¹ i uk³adaj¹ na pó³kach;"Zadania wykonywane przez pomocników bibliotecznych zazwyczaj obejmuj¹: wydawanie i odbieranie ksi¹¿ek i innych materia³ów bibliotecznych; odk³adanie na pó³ki ksi¹¿ek i innych materia³ów bibliotecznych; wykonywanie zadañ biurowych, takich jak: tradycyjna lub elektroniczna ewidencja, obróbka tekstu oraz pisanie na maszynie lub komputerze; prowadzenie prenumeraty prasowej; pomaganie u¿ytkownikom biblioteki w uzyskaniu dostêpu do podstawowych materia³ów bibliotecznych oraz w wypo¿yczaniu miêdzybibliotecznym; prowadzenie rejestru biblioteki w odniesieniu do nabytych, wydanych i zwróconych ksi¹¿ek i innych materia³ów; uczestniczenie w skontrum zbiorów bibliotecznych w celu ustalenia ich aktualnego stanu i zgodnoœci z ewidencj¹ inwentarzow¹; wykonywanie innych zadañ pokrewnych.";
4412;Listonosze i pokrewni;Listonosze i pokrewni zajmuj¹ siê sortowaniem, rejestrowaniem, dostarczaniem przesy³ek z urzêdów pocztowych i innych podobnych organizacji, jak równie¿ wewn¹trz przedsiêbiorstwa oraz wykonuj¹ inne obowi¹zki zwi¹zane z us³ugami pocztowymi.;"Zadania wykonywane przez listonoszy i pokrewnych pracowników zazwyczaj obejmuj¹: gromadzenie i przygotowywanie przesy³ek pocztowych do wyekspediowania, za³adunek i roz³adunek przesy³ek w urzêdach pocztowych lub prywatnych przedsiêbiorstwach kurierskich; sortowanie i dorêczanie przesy³ek do domów prywatnych i przedsiêbiorstw oraz dorêczanie zawiadomieñ o przesy³kach; przyjmowanie w rejonie przesy³ek pocztowych do realizacji i na ¿yczenie klienta udostêpnianie potwierdzenia dostarczenia przesy³ki; sortowanie i prowadzenie prostych rejestrów korespondencji przychodz¹cej i wychodz¹cej oraz wysy³anie poczty wychodz¹cej w ró¿nych przedsiêbiorstwach; wykonywanie innych zadañ pokrewnych.";
4413;Kodowacze, korektorzy i pokrewni;Kodowacze, korektorzy i pokrewni zamieniaj¹ informacje na kody, dokonuj¹ weryfikacji i korekty tekstów oraz wykonuj¹ szereg innych zadañ biurowych.;"Zadania wykonywane przez kodowaczy, korektorów i pokrewnych pracowników zazwyczaj obejmuj¹: kodowanie informacji i klasyfikowanie informacji wed³ug kodów pod k¹tem przetwarzania danych; porównywanie przygotowanych do druku materia³ów z orygina³ami, dokonywanie koniecznych korekt tekstu, zgodnie z ustalonymi zasadami; sortowanie matryc i oznakowanie ich numerami identyfikacyjnymi; sortowanie dokumentów lub sprawdzanie porz¹dku stron w zbiorze; rêczne adresowanie okólników i kopert; wykonywanie innych zadañ pokrewnych.";
4414;Technicy archiwiœci i pokrewni;Technicy archiwiœci i pokrewni zajmuj¹ siê przejmowaniem, przechowywaniem, zabezpieczaniem, ewidencjonowaniem, porz¹dkowaniem i udostêpnianiem dokumentacji powstaj¹cej w toku dzia³alnoœci jednostek organizacyjnych.;"Zadania wykonywane przez techników archiwistów i pokrewnych pracowników zazwyczaj obejmuj¹: prowadzenie archiwum zak³adowego zgodnie z instrukcj¹ archiwaln¹; przejmowanie z poszczególnych komórek jednostki organizacyjnej teczek spraw przygotowanych na podstawie jednolitego rzeczowego wykazu akt; zabezpieczanie i przechowywanie akt oraz prowadzenie ewidencji archiwalnej; brakowanie dokumentacji niearchiwalnej po up³ywie czasokresu jej przechowywania w archiwum zak³adowym; przekazywanie materia³ów archiwalnych (dokumentów przechowywanych wieczyœcie) do archiwum pañstwowego; wyszukiwanie akt i ich udostêpnianie; wydawanie odpisów i kopii przechowywanych materia³ów oraz wystawianie zaœwiadczeñ na ich podstawie; skanowanie dokumentów papierowych i umieszczanie ich w archiwum elektronicznym; obs³ugiwanie komputerowego systemu informacji archiwalnej; uczestniczenie, pod kierunkiem doœwiadczonego archiwisty, w pracach zwi¹zanych z przejmowaniem, przechowywaniem, porz¹dkowaniem, zabezpieczaniem i udostêpnianiem materia³ów archiwalnych archiwów pañstwowych; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
4415;Pracownicy dzia³ów kadr;Pracownicy dzia³ów kadr prowadz¹ i aktualizuj¹ rejestr pracowników, w tym informacje dotycz¹ce przeniesieñ, awansów, oceny, urlopów, wynagrodzenia, kwalifikacji i szkoleñ, oraz prowadz¹ sprawy zwi¹zane z dzia³alnoœci¹ socjaln¹ w jednostce organizacyjnej.;"Zadania wykonywane przez pracowników dzia³ów kadr zazwyczaj obejmuj¹: prowadzenie rejestru pracowników zatrudnionych, zwolnionych, kompletowanie dokumentów osobowych i zak³adanie akt osobowych; aktualizowanie informacji dotycz¹cych historii zatrudnienia, wynagrodzenia, oceny pracownika, kwalifikacji i szkolenia oraz wykorzystanych i niewykorzystanych urlopów; sporz¹dzanie umów o pracê i anga¿y; prowadzenie ewidencji czasu pracy pracowników; udzia³ w czynnoœciach zwi¹zanych z organizacj¹ i przebiegiem okresowej oceny pracowników; wystawianie pracownikom skierowañ na badania wstêpne, okresowe i kontrolne; monitorowanie sta¿u pracy zatrudnionych pod k¹tem uprawnieñ do nagrody jubileuszowej i sporz¹dzanie wniosków o ich wyp³atê; przyjmowanie wniosków urlopowych i prowadzenie ewidencji urlopów wypoczynkowych, bezp³atnych, szkoleniowych, wychowawczych; przygotowywanie i kompletowanie materia³ów, opisów stanowisk oraz sporz¹dzanie og³oszeñ dotycz¹cych naboru na wolne stanowiska; uczestnictwo";
