pkd_2007;nazwa_pkd_2007
58.12;Wydawanie wykazów oraz list (np. adresowych, telefonicznych)
58.13;Wydawanie gazet
58.14;Wydawanie czasopism i pozostałych periodyków
58.19;Pozostała działalność wydawnicza
58.21;Działalność wydawnicza w zakresie gier komputerowych
58.29;Działalność wydawnicza w zakresie pozostałego oprogramowania
59.11;Działalność związana z produkcją filmów, nagrań wideo i programów telewizyjnych
59.12;Działalność postprodukcyjna związana z filmami, nagraniami wideo i programami telewizyjnymi
59.13;Działalność związana z dystrybucją filmów, nagrań wideo i programów telewizyjnych
59.14;Działalność związana z projekcją filmów
59.20;Działalność w zakresie nagrań dźwiękowych i muzycznych
60.10;Nadawanie programów radiofonicznych
60.20;Nadawanie programów telewizyjnych ogólnodostępnych i abonamentowych
61.10;Działalność w zakresie telekomunikacji przewodowej
61.20;Działalność w zakresie telekomunikacji bezprzewodowej, z wyłączeniem telekomunikacji satelitarnej
61.30;Działalność w zakresie telekomunikacji satelitarnej
61.90;Działalność w zakresie pozostałej telekomunikacji
62.01;Działalność związana z oprogramowaniem
62.02;Działalność związana z doradztwem w zakresie informatyki
62.03;Działalność związana z zarządzaniem urządzeniami informatycznymi
62.09;Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych
63.11;"Przetwarzanie danych; zarządzanie stronami internetowymi (hosting) i podobna działalność"
63.12;Działalność portali internetowych
63.91;Działalność agencji informacyjnych
63.99;Pozostała działalność usługowa w zakresie informacji, gdzie indziej niesklasyfikowana
64.11;Działalność banku centralnego
64.19;Pozostałe pośrednictwo pieniężne
64.20;Działalność holdingów finansowych
64.30;Działalność trustów, funduszów i podobnych instytucji finansowych
64.91;Leasing finansowy
64.92;Pozostałe formy udzielania kredytów
64.99;Pozostała finansowa działalność usługowa, gdzie indziej niesklasyfikowana, z wyłączeniem ubezpieczeń i funduszów emerytalnych
65.11;Ubezpieczenia na życie
65.12;Pozostałe ubezpieczenia osobowe oraz ubezpieczenia majątkowe
65.20;Reasekuracja
65.30;Fundusze emerytalne
66.11;Zarządzanie rynkami finansowymi
66.12;Działalność maklerska związana z rynkiem papierów wartościowych i towarów giełdowych
66.19;Pozostała działalność wspomagająca usługi finansowe, z wyłączeniem ubezpieczeń i funduszów emerytalnych
66.21;Działalność związana z oceną ryzyka i szacowaniem poniesionych strat
66.22;Działalność agentów i brokerów ubezpieczeniowych
66.29;Pozostała działalność wspomagająca ubezpieczenia i fundusze emerytalne
66.30;Działalność związana z zarządzaniem funduszami
68.10;Kupno i sprzedaż nieruchomości na własny rachunek
68.20;Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi
68.31;Pośrednictwo w obrocie nieruchomościami
68.32;Zarządzanie nieruchomościami wykonywane na zlecenie
69.10;Działalność prawnicza
69.20;"Działalność rachunkowo-księgowa; doradztwo podatkowe"
70.10;Działalność firm centralnych (head offices) i holdingów, z wyłączeniem holdingów finansowych
70.21;Stosunki międzyludzkie (public relations) i komunikacja
70.22;Pozostałe doradztwo w zakresie prowadzenia działalności gospodarczej i zarządzania
71.11;Działalność w zakresie architektury
71.12;Działalność w zakresie inżynierii i związane z nią doradztwo techniczne
71.20;Badania i analizy techniczne
72.11;Badania naukowe i prace rozwojowe w dziedzinie biotechnologii
72.19;Badania naukowe i prace rozwojowe w dziedzinie pozostałych nauk przyrodniczych i technicznych
72.20;Badania naukowe i prace rozwojowe w dziedzinie nauk społecznych i humanistycznych
73.11;Działalność agencji reklamowych
73.12;Działalność związana z reprezentowaniem mediów
73.20;Badanie rynku i opinii publicznej
74.10;Działalność w zakresie specjalistycznego projektowania
74.20;Działalność fotograficzna
74.30;Działalność związana z tłumaczeniami
74.90;Pozostała działalność profesjonalna, naukowa i techniczna, gdzie indziej niesklasyfikowana
75.00;DZIAŁALNOŚĆ WETERYNARYJNA
77.11;Wynajem i dzierżawa samochodów osobowych i furgonetek
77.12;Wynajem i dzierżawa pozostałych pojazdów samochodowych, z wyłączeniem motocykli
77.21;Wypożyczanie i dzierżawa sprzętu rekreacyjnego i sportowego
77.22;Wypożyczanie kaset wideo, płyt CD, DVD itp.
77.29;Wypożyczanie i dzierżawa pozostałych artykułów użytku osobistego i domowego
77.31;Wynajem i dzierżawa maszyn i urządzeń rolniczych
77.32;Wynajem i dzierżawa maszyn i urządzeń budowlanych
77.33;Wynajem i dzierżawa maszyn i urządzeń biurowych, włączając komputery
77.34;Wynajem i dzierżawa środków transportu wodnego
77.35;Wynajem i dzierżawa środków transportu lotniczego
77.39;Wynajem i dzierżawa pozostałych maszyn, urządzeń oraz dóbr materialnych, gdzie indziej niesklasyfikowane
77.40;Dzierżawa własności intelektualnej i podobnych produktów, z wyłączeniem prac chronionych prawem autorskim
78.10;Działalność związana z wyszukiwaniem miejsc pracy i pozyskiwaniem pracowników
78.20;Działalność agencji pracy tymczasowej
78.30;Pozostała działalność związana z udostępnianiem pracowników
79.11;Działalność agentów i pośredników turystycznych
79.12;Działalność organizatorów turystyki
79.90;Pozostała działalność usługowa w zakresie rezerwacji i działalności z nią związane
80.10;Działalność ochroniarska, z wyłączeniem obsługi systemów bezpieczeństwa
80.20;Działalność ochroniarska w zakresie obsługi systemów bezpieczeństwa
80.30;Działalność detektywistyczna
81.10;Działalność pomocnicza związana z utrzymaniem porządku w budynkach
81.21;Niespecjalistyczne sprzątanie budynków i obiektów przemysłowych
81.22;Specjalistyczne sprzątanie budynków i obiektów przemysłowych
81.29;Pozostałe sprzątanie
81.30;Działalność usługowa związana z zagospodarowaniem terenów zieleni
82.11;Działalność usługowa związana z administracyjną obsługą biura
82.19;Wykonywanie fotokopii, przygotowywanie dokumentów i pozostała specjalistyczna działalność wspomagająca prowadzenie biura
82.20;Działalność centrów telefonicznych (call center)
82.30;Działalność związana z organizacją targów, wystaw i kongresów
82.91;Działalność świadczona przez agencje inkasa i biura kredytowe
82.92;Działalność związana z pakowaniem
82.99;Pozostała działalność wspomagająca prowadzenie działalności gospodarczej, gdzie indziej niesklasyfikowana
84.11;Kierowanie podstawowymi rodzajami działalności publicznej
84.12;Kierowanie w zakresie działalności związanej z ochroną zdrowia, edukacją, kulturą oraz pozostałymi usługami społecznymi, z wyłączeniem zabezpieczeń społecznych
84.13;Kierowanie w zakresie efektywności gospodarowania
84.21;Sprawy zagraniczne
84.22;Obrona narodowa
84.23;Wymiar sprawiedliwości
84.24;Bezpieczeństwo państwa, porządek i bezpieczeństwo publiczne
84.25;Ochrona przeciwpożarowa
84.30;Obowiązkowe zabezpieczenia społeczne
85.10;Placówki wychowania przedszkolnego
85.20;Szkoły podstawowe
85.31;Gimnazja i licea ogólnokształcące
85.32;Szkoły prowadzące kształcenie zawodowe, z wyłączeniem szkół policealnych
85.41;Szkoły policealne, kolegia pracowników służb społecznych i placówki doskonalenia nauczycieli
85.42;Szkoły wyższe
85.51;Pozaszkolne formy edukacji sportowej oraz zajęć sportowych i rekreacyjnych
85.52;Pozaszkolne formy edukacji artystycznej
85.53;Pozaszkolne formy edukacji z zakresu nauki jazdy i pilotażu
85.59;Pozaszkolne formy edukacji, gdzie indziej niesklasyfikowane
85.60;Działalność wspomagająca edukację
86.10;Działalność szpitali
86.21;Praktyka lekarska ogólna
86.22;Praktyka lekarska specjalistyczna
86.23;Praktyka lekarska dentystyczna
86.90;Pozostała działalność w zakresie opieki zdrowotnej
87.10;Pomoc społeczna z zakwaterowaniem zapewniająca opiekę pielęgniarską
87.20;Pomoc społeczna z zakwaterowaniem dla osób z zaburzeniami psychicznymi
87.30;Pomoc społeczna z zakwaterowaniem dla osób w podeszłym wieku i osób niepełnosprawnych
87.90;Pozostała pomoc społeczna z zakwaterowaniem
88.10;Pomoc społeczna bez zakwaterowania dla osób w podeszłym wieku i osób niepełnosprawnych
88.91;Opieka dzienna nad dziećmi
88.99;Pozostała pomoc społeczna bez zakwaterowania, gdzie indziej niesklasyfikowana
90.01;Działalność związana z wystawianiem przedstawień artystycznych
90.02;Działalność wspomagająca wystawianie przedstawień artystycznych
90.03;Artystyczna i literacka działalność twórcza
90.04;Działalność obiektów kulturalnych
91.01;Działalność bibliotek i archiwów
91.02;Działalność muzeów
91.03;Działalność historycznych miejsc i budynków oraz podobnych atrakcji turystycznych
91.04;Działalność ogrodów botanicznych i zoologicznych oraz obszarów i obiektów ochrony przyrody
92.00;DZIAŁALNOŚĆ ZWIĄZANA Z GRAMI LOSOWYMI I ZAKŁADAMI WZAJEMNYMI
93.11;Działalność obiektów sportowych
93.12;Działalność klubów sportowych
93.13;Działalność obiektów służących poprawie kondycji fizycznej
93.19;Pozostała działalność związana ze sportem
93.21;Działalność wesołych miasteczek i parków rozrywki
93.29;Pozostała działalność rozrywkowa i rekreacyjna
94.11;Działalność organizacji komercyjnych i pracodawców
94.12;Działalność organizacji profesjonalnych
94.20;Działalność związków zawodowych
94.91;Działalność organizacji religijnych
94.92;Działalność organizacji politycznych
94.99;Działalność pozostałych organizacji członkowskich, gdzie indziej niesklasyfikowana
95.11;Naprawa i konserwacja komputerów i urządzeń peryferyjnych
95.12;Naprawa i konserwacja sprzętu (tele)komunikacyjnego
95.21;Naprawa i konserwacja elektronicznego sprzętu powszechnego użytku
95.22;Naprawa i konserwacja urządzeń gospodarstwa domowego oraz sprzętu użytku domowego i ogrodniczego
95.23;Naprawa obuwia i wyrobów skórzanych
95.24;Naprawa i konserwacja mebli i wyposażenia domowego
95.25;Naprawa zegarów, zegarków oraz biżuterii
95.29;Naprawa pozostałych artykułów użytku osobistego i domowego
96.01;Pranie i czyszczenie wyrobów włókienniczych i futrzarskich
96.02;Fryzjerstwo i pozostałe zabiegi kosmetyczne
96.03;Pogrzeby i działalność pokrewna
96.04;Działalność usługowa związana z poprawą kondycji fizycznej
96.09;Pozostała działalność usługowa, gdzie indziej niesklasyfikowana
97.00;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW
98.10;Gospodarstwa domowe produkujące wyroby na własne potrzeby
98.20;Gospodarstwa domowe świadczące usługi na własne potrzeby
99.00;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE
